GEOID,AGE_GROUP,FERTILITY
22,35-39,42.57
22,40-44,8.93
23,15-19,8.35
23,20-24,48.35
23,25-29,84.49
23,30-34,88.37
23,35-39,47.12
23,40-44,9.63
24,15-19,11.24
24,20-24,48.4
24,25-29,84.91
24,30-34,104.81
24,35-39,63.14
24,40-44,15.59
25,15-19,5.79
25,20-24,26.38
25,25-29,58.66
25,30-34,104.68
25,35-39,68.68
25,40-44,15.65
26,15-19,11.7
26,20-24,52.24
26,25-29,95.97
26,30-34,98.8
26,35-39,48.35
26,40-44,9.46
27,15-19,8.16
27,20-24,44.1
27,25-29,99.06
27,30-34,119.46
27,35-39,59.13
27,40-44,12.06
28,15-19,25.47
28,20-24,93.77
28,25-29,115.29
28,30-34,80.66
28,35-39,34.62
28,40-44,6.9
29,15-19,16.89
29,20-24,70.32
29,25-29,105.88
29,30-34,94.03
29,35-39,43.63
29,40-44,8.69
30,15-19,12.35
30,20-24,57.21
30,25-29,98.16
30,30-34,93.57
30,35-39,46.3
30,40-44,9.19
31,15-19,14.03
31,20-24,61.04
31,25-29,124.09
31,30-34,121.72
31,35-39,53.88
31,40-44,10.78
32,15-19,14.26
32,20-24,65.99
32,25-29,88.36
32,30-34,81.23
32,35-39,46.97
32,40-44,11.54
33,15-19,5.15
33,20-24,30.96
33,25-29,78.09
33,30-34,103.27
33,35-39,52.24
33,40-44,10.46
34,15-19,8.01
34,20-24,42.03
34,25-29,79.0
34,30-34,119.26
34,35-39,74.62
34,40-44,17.37
35,15-19,19.3
35,20-24,73.17
35,25-29,95.04
35,30-34,77.68
35,35-39,40.33
35,40-44,9.03
36,15-19,8.84
36,20-24,45.91
36,25-29,71.48
36,30-34,96.08
36,35-39,66.63
36,40-44,18.2
37,15-19,15.45
37,20-24,65.94
37,25-29,96.88
37,30-34,95.44
37,35-39,50.65
37,40-44,10.99
38,15-19,12.21
38,20-24,56.1
38,25-29,125.5
38,30-34,118.5
38,35-39,50.95
38,40-44,10.12
39,15-19,15.42
39,20-24,67.83
39,25-29,101.81
39,30-34,96.14
39,35-39,46.98
39,40-44,9.04
40,15-19,22.05
40,20-24,87.68
40,25-29,113.52
40,30-34,86.53
40,35-39,39.4
40,40-44,8.06
41,15-19,9.62
41,20-24,48.62
41,25-29,77.34
41,30-34,80.52
41,35-39,48.43
41,40-44,11.11
42,15-19,10.83
42,20-24,50.29
42,25-29,88.78
42,30-34,99.75
42,35-39,53.55
42,40-44,11.12
44,15-19,8.1
44,20-24,35.51
44,25-29,71.53
44,30-34,92.56
44,35-39,55.06
44,40-44,12.75
45,15-19,17.83
45,20-24,69.72
45,25-29,101.31
45,30-34,89.79
45,35-39,45.76
45,40-44,9.85
46,15-19,16.96
46,20-24,70.61
46,25-29,135.67
46,30-34,119.72
46,35-39,50.67
46,40-44,9.49
47,15-19,21.18
47,20-24,79.44
47,25-29,101.48
47,30-34,88.73
47,35-39,44.68
47,40-44,9.3
48,15-19,20.17
48,20-24,76.22
48,25-29,104.15
48,30-34,96.52
48,35-39,50.82
48,40-44,11.58
49,15-19,9.23
49,20-24,62.17
49,25-29,128.4
49,30-34,108.02
49,35-39,51.13
49,40-44,11.07
50,15-19,6.26
50,20-24,31.24
50,25-29,71.59
50,30-34,91.17
50,35-39,53.66
50,40-44,10.76
51,15-19,11.49
51,20-24,52.5
51,25-29,88.61
51,30-34,100.86
51,35-39,57.92
51,40-44,13.48
53,15-19,10.0
53,20-24,52.46
53,25-29,81.17
53,30-34,90.55
53,35-39,55.54
53,40-44,13.0
54,15-19,19.86
54,20-24,84.15
54,25-29,106.63
54,30-34,75.42
54,35-39,33.37
54,40-44,6.19
55,15-19,10.17
55,20-24,47.28
55,25-29,99.95
55,30-34,111.46
55,35-39,49.73
55,40-44,9.64
56,15-19,15.42
56,20-24,76.53
56,25-29,110.9
56,30-34,88.63
56,35-39,39.88
56,40-44,7.94
