GEOID,AGE_GROUP,FERTILITY
37,35-39,50.850996289422994
37,40-44,11.21179391146999
38,15-19,11.593809230699105
38,20-24,53.95841605734231
38,25-29,119.8363540986372
38,30-34,108.99130011008087
38,35-39,51.349160562364936
38,40-44,9.75726050853429
39,15-19,13.864725491656834
39,20-24,63.44509986829581
39,25-29,98.80110157575156
39,30-34,92.50156506715479
39,35-39,47.04900462839125
39,40-44,9.189571082254341
40,15-19,19.33972456758066
40,20-24,82.73743737424931
40,25-29,112.5772123388869
40,30-34,83.68214955903173
40,35-39,39.5491273980419
40,40-44,7.952392307659582
41,15-19,8.882331585173663
41,20-24,45.402359043157
41,25-29,77.35670264017843
41,30-34,76.94876071199657
41,35-39,47.478534281292596
41,40-44,10.872650965935007
42,15-19,9.566255750123828
42,20-24,46.67778413156348
42,25-29,84.4237255994205
42,30-34,96.45647681915916
42,35-39,52.32328116267267
42,40-44,11.161833893557928
44,15-19,7.421915447603815
44,20-24,31.226646200764055
44,25-29,66.0862845792418
44,30-34,88.95675680999715
44,35-39,54.77089009729422
44,40-44,12.53134561190091
45,15-19,17.135782000407858
45,20-24,65.51822984787974
45,25-29,100.14494537402778
45,30-34,89.03766474619628
45,35-39,45.46443995860065
45,40-44,10.263433321709549
46,15-19,15.09970058301315
46,20-24,68.6127767941191
46,25-29,134.5196487465394
46,30-34,120.24753039171145
46,35-39,52.62030336485449
46,40-44,10.093492601943812
47,15-19,19.64113602072214
47,20-24,76.01402305928191
47,25-29,100.2312098603018
47,30-34,87.67913138575219
47,35-39,45.10845504490634
47,40-44,9.953433908751851
48,15-19,18.22883118063611
48,20-24,72.01175130894136
48,25-29,100.83929180260425
48,30-34,94.22808180161388
48,35-39,50.7020564826984
48,40-44,11.782124336087803
49,15-19,8.08973026006549
49,20-24,57.339761134155616
49,25-29,122.97407737507163
49,30-34,102.78837755631713
49,35-39,50.522821370434656
49,40-44,11.588031325958996
50,15-19,6.268017093958097
50,20-24,30.453131865874354
50,25-29,69.82054847642829
50,30-34,81.26529619009082
50,35-39,51.09418810472725
50,40-44,11.08403894464078
51,15-19,10.532150233680833
51,20-24,49.82412834291753
51,25-29,86.52722630689723
51,30-34,96.31568049381471
51,35-39,57.45306384180623
51,40-44,13.727197395905991
53,15-19,9.16057806421549
53,20-24,50.31566752202124
53,25-29,77.05755276549472
53,30-34,86.74098871501026
53,35-39,54.23314853926694
53,40-44,12.957407069403324
54,15-19,17.577909664237314
54,20-24,78.97884390685799
54,25-29,109.00484391360246
54,30-34,75.5419308061559
54,35-39,34.35457692821258
54,40-44,6.2263747485284675
55,15-19,9.547582002881548
55,20-24,44.97686349826924
55,25-29,94.90596092977822
55,30-34,104.73253364401317
55,35-39,50.34264731603153
55,40-44,9.945731654030405
56,15-19,14.514170077348066
56,20-24,74.28088415608897
56,25-29,111.22639775626688
56,30-34,85.92196743706715
56,35-39,40.1109252484007
56,40-44,7.84364048480508
