GEOID,AGE_GROUP,SEX,PERCENT_OF_AGE_SEX_COHORT
38,85+,FEMALE,0.000015477562949842942
32,20-24,MALE,0.0007758228490848363
72,40-44,MALE,0.00007153642436472123
29,0-4,FEMALE,0.0018222680970075588
05,35-39,MALE,0.00022558073264841407
02,80-84,FEMALE,0.00003146887693877731
13,70-74,FEMALE,0.008653479880492016
34,30-34,MALE,0.018710428665688818
23,15-19,FEMALE,0.00011692589695668966
30,20-24,FEMALE,0.00003277299678682736
22,30-34,MALE,0.0009137056610674865
09,0-4,FEMALE,0.0030647175878654844
04,5-9,MALE,0.007767655267102448
26,40-44,FEMALE,0.008909342367901738
27,20-24,MALE,0.003298236052657169
18,75-79,FEMALE,0.0019171176216527003
30,85+,MALE,0.000037026643371407345
38,65-69,FEMALE,0.00002027887066177822
22,80-84,FEMALE,0.00048092642073636476
02,35-39,FEMALE,0.00008422169852577851
42,65-69,MALE,0.010480720125690107
55,45-49,MALE,0.0010157858320485537
17,55-59,MALE,0.017125940643639335
51,50-54,FEMALE,0.016163461694532987
32,75-79,MALE,0.00150460695505736
45,15-19,MALE,0.0011194992947387936
13,75-79,FEMALE,0.006399686482213328
50,45-49,FEMALE,0.000025134550741157866
20,45-49,MALE,0.0007698577217545084
08,55-59,FEMALE,0.0048162583341011585
49,10-14,MALE,0.00174720944457236
32,20-24,FEMALE,0.0008039853694294717
19,50-54,MALE,0.0005554447064565505
41,70-74,FEMALE,0.0018336778273697987
46,25-29,FEMALE,0.00001540484721767648
53,20-24,MALE,0.013810702762591855
44,30-34,MALE,0.00015979019913619073
04,25-29,FEMALE,0.008309580848634923
51,60-64,MALE,0.01713378447943425
18,45-49,MALE,0.0018283012972267222
55,10-14,MALE,0.0015923966815405476
18,85+,MALE,0.002004350439646082
17,40-44,FEMALE,0.020092141439178056
72,65-69,FEMALE,0.000028239258343747645
56,70-74,MALE,0.0
25,30-34,MALE,0.015322545931794242
31,40-44,MALE,0.00016701328777299048
15,50-54,FEMALE,0.001195284215627521
34,85+,FEMALE,0.02155932105335137
33,10-14,MALE,0.0001046465976699036
04,70-74,MALE,0.015885528516869418
13,40-44,FEMALE,0.008196358194619337
28,15-19,MALE,0.00010609002445672858
18,50-54,FEMALE,0.0015513223309163192
56,30-34,FEMALE,2.981730723841776e-6
16,20-24,FEMALE,0.0002857866773544933
35,75-79,MALE,0.00045681641645601065
32,80-84,MALE,0.00150460695505736
30,60-64,MALE,0.00003205230845364803
