TIME_STEP,AGE_GROUP,SEX,NET_IMMIGRATION
2030-2034,45-49,MALE,8503
2080-2084,85+,FEMALE,252
2090-2094,85+,MALE,77
2035-2039,5-9,FEMALE,4628
2035-2039,30-34,FEMALE,15942
2080-2084,50-54,MALE,3150
2035-2039,85+,MALE,171
2055-2059,85+,MALE,415
2045-2049,85+,MALE,570
2050-2054,50-54,MALE,1992
2085-2089,30-34,MALE,29575
2070-2074,15-19,FEMALE,9285
2090-2094,10-14,FEMALE,6287
2055-2059,85+,FEMALE,197
2060-2064,85+,MALE,58
2095-2099,0-4,FEMALE,7422
2040-2044,25-29,FEMALE,17118
2050-2054,85+,FEMALE,333
2085-2089,65-69,MALE,-2168
2085-2089,70-74,FEMALE,-4429
2065-2069,75-79,MALE,-3654
2030-2034,80-84,FEMALE,-51
2025-2029,30-34,MALE,20259
2035-2039,40-44,MALE,11549
2055-2059,55-59,FEMALE,-4226
2065-2069,55-59,MALE,1963
2055-2059,75-79,FEMALE,-2702
2045-2049,30-34,MALE,27515
2080-2084,65-69,FEMALE,-4412
2060-2064,85+,FEMALE,390
2065-2069,10-14,MALE,8010
2080-2084,45-49,MALE,9669
2045-2049,45-49,MALE,3471
2050-2054,85+,MALE,570
2060-2064,55-59,MALE,2298
2060-2064,35-39,MALE,27803
2090-2094,50-54,FEMALE,-3986
2055-2059,40-44,FEMALE,13642
2080-2084,85+,MALE,57
2035-2039,80-84,MALE,-323
2040-2044,5-9,FEMALE,5078
2060-2064,80-84,MALE,-2483
2085-2089,40-44,MALE,24513
2075-2079,85+,FEMALE,254
2040-2044,85+,MALE,39
2060-2064,20-24,FEMALE,12391
2080-2084,40-44,FEMALE,9033
2045-2049,25-29,MALE,24962
2035-2039,20-24,MALE,19932
2045-2049,70-74,FEMALE,-1437
2060-2064,70-74,MALE,-3759
2035-2039,85+,FEMALE,373
2055-2059,15-19,FEMALE,8175
2055-2059,40-44,FEMALE,10223
2060-2064,65-69,MALE,-1562
2095-2099,45-49,FEMALE,-1857
2095-2099,75-79,MALE,-5383
2090-2094,15-19,MALE,11761
2085-2089,50-54,MALE,2486
2090-2094,40-44,FEMALE,11494
2075-2079,45-49,MALE,3932
2085-2089,85+,FEMALE,268
2090-2094,80-84,MALE,-4863
2075-2079,5-9,MALE,6802
2080-2084,80-84,FEMALE,-2642
2085-2089,85+,MALE,77
2050-2054,75-79,FEMALE,-1338
2070-2074,85+,FEMALE,390
2025-2029,60-64,FEMALE,-971
2045-2049,55-59,MALE,3605
2040-2044,50-54,MALE,1876
2050-2054,25-29,FEMALE,15508
2030-2034,50-54,MALE,4519
2095-2099,60-64,FEMALE,-4399
,35-39,MALE,25462
2050-2054,30-34,FEMALE,18742
2090-2094,85+,FEMALE,296
2055-2059,45-49,MALE,10880
2040-2044,20-24,FEMALE,10800
2025-2029,0-4,FEMALE,3664
2065-2069,85+,MALE,78
2060-2064,55-59,FEMALE,-4109
2025-2029,20-24,FEMALE,7789
2070-2074,10-14,FEMALE,5863
2045-2049,55-59,FEMALE,-3475
2065-2069,5-9,MALE,7481
2090-2094,0-4,FEMALE,4382
2025-2029,40-44,MALE,10818
2095-2099,0-4,FEMALE,4366
2025-2029,20-24,MALE,13141
2050-2054,85+,MALE,42
2070-2074,10-14,FEMALE,6302
,60-64,FEMALE,1609
2070-2074,85+,MALE,249
