TIME_STEP,AGE_GROUP,SEX,NET_IMMIGRATION
2075-2079,70-74,MALE,-3363
2030-2034,70-74,MALE,1400
2065-2069,85+,MALE,29
2030-2034,75-79,FEMALE,-51
2050-2054,85+,MALE,493
2030-2034,40-44,FEMALE,10301
2085-2089,0-4,FEMALE,4408
2085-2089,20-24,FEMALE,13660
2022-2024,85+,MALE,62
2090-2094,55-59,MALE,2566
2095-2099,85+,MALE,407
2055-2059,40-44,MALE,18838
2090-2094,30-34,MALE,29769
2065-2069,85+,MALE,29
2035-2039,10-14,FEMALE,5275
2045-2049,45-49,FEMALE,-759
2085-2089,75-79,FEMALE,-3169
2065-2069,40-44,MALE,16967
2040-2044,20-24,MALE,14568
2095-2099,80-84,MALE,-5455
2030-2034,0-4,FEMALE,3351
2045-2049,0-4,FEMALE,4823
2090-2094,80-84,MALE,-3877
2050-2054,65-69,FEMALE,-2219
2025-2029,80-84,MALE,-113
2040-2044,70-74,FEMALE,-1661
2090-2094,20-24,FEMALE,13645
2065-2069,50-54,MALE,1819
2075-2079,10-14,FEMALE,6011
2040-2044,65-69,FEMALE,-1489
2080-2084,40-44,MALE,24438
2095-2099,55-59,FEMALE,-3983
2095-2099,70-74,FEMALE,-4145
2022-2024,55-59,MALE,14962
2090-2094,85+,MALE,77
2035-2039,65-69,FEMALE,-1395
2045-2049,35-39,FEMALE,17070
2045-2049,70-74,FEMALE,-1503
2030-2034,80-84,FEMALE,-29
2055-2059,85+,FEMALE,-936
2090-2094,50-54,FEMALE,-4118
2035-2039,35-39,FEMALE,13007
2075-2079,65-69,FEMALE,-4290
2085-2089,45-49,FEMALE,-585
2060-2064,50-54,MALE,1992
2090-2094,70-74,FEMALE,-3917
2060-2064,70-74,FEMALE,-3167
2070-2074,30-34,FEMALE,18993
2030-2034,75-79,FEMALE,-57
2090-2094,35-39,MALE,28683
2075-2079,55-59,FEMALE,-4283
2025-2029,5-9,FEMALE,2507
2055-2059,85+,MALE,188
2070-2074,75-79,FEMALE,-1982
2080-2084,45-49,FEMALE,3783
2025-2029,25-29,MALE,15640
2060-2064,60-64,FEMALE,-3577
2080-2084,75-79,MALE,-4508
2070-2074,80-84,MALE,-3400
2085-2089,75-79,FEMALE,-3741
2030-2034,20-24,FEMALE,8251
2075-2079,85+,MALE,18
2030-2034,0-4,FEMALE,6852
2065-2069,75-79,MALE,-2672
2080-2084,65-69,MALE,-3086
2090-2094,15-19,MALE,10510
2070-2074,70-74,FEMALE,-3767
2090-2094,30-34,FEMALE,19138
2085-2089,85+,FEMALE,387
2045-2049,0-4,FEMALE,4598
2060-2064,70-74,MALE,-2797
2050-2054,85+,MALE,78
2070-2074,35-39,FEMALE,18398
2035-2039,45-49,FEMALE,-2110
2030-2034,50-54,FEMALE,-2742
2035-2039,60-64,FEMALE,-1417
2085-2089,0-4,MALE,5947
2045-2049,80-84,MALE,-971
2065-2069,10-14,FEMALE,6093
2065-2069,30-34,MALE,29318
2075-2079,25-29,FEMALE,17688
2035-2039,5-9,FEMALE,5030
2050-2054,85+,MALE,-450
2050-2054,80-84,FEMALE,-996
2035-2039,85+,MALE,509
2050-2054,85+,MALE,21
2070-2074,35-39,MALE,28820
2090-2094,20-24,FEMALE,14728
2090-2094,55-59,MALE,2491
2040-2044,40-44,MALE,11907
2090-2094,80-84,FEMALE,-3279
2022-2024,55-59,MALE,12450
2095-2099,30-34,FEMALE,18876
2080-2084,45-49,MALE,5538
2080-2084,65-69,FEMALE,-3962
2095-2099,60-64,FEMALE,-4502
2050-2054,35-39,MALE,23534
2095-2099,55-59,MALE,2664
2025-2029,70-74,MALE,2190
2090-2094,30-34,MALE,29564
2095-2099,50-54,MALE,2646
2075-2079,25-29,FEMALE,18410
2080-2084,10-14,MALE,7813
2090-2094,80-84,MALE,-4514
2025-2029,45-49,MALE,8958
2035-2039,0-4,MALE,5190
2090-2094,60-64,MALE,-1143
2025-2029,50-54,FEMALE,-2400
2045-2049,35-39,FEMALE,15218
2050-2054,45-49,FEMALE,-4303
2030-2034,15-19,FEMALE,6369
2040-2044,85+,FEMALE,188
2045-2049,40-44,MALE,11554
2030-2034,20-24,MALE,13082
2040-2044,85+,MALE,273
2040-2044,10-14,FEMALE,5654
2065-2069,70-74,FEMALE,-3459
2030-2034,50-54,FEMALE,-2610
2030-2034,0-4,FEMALE,3551
2035-2039,80-84,FEMALE,-34
2055-2059,70-74,FEMALE,-2397
2065-2069,20-24,FEMALE,12513
2045-2049,80-84,FEMALE,-629
2045-2049,25-29,MALE,22922
2022-2024,10-14,FEMALE,16601
2085-2089,35-39,MALE,27903
2045-2049,70-74,MALE,-448
2095-2099,80-84,MALE,-4719
2095-2099,40-44,MALE,24656
2030-2034,55-59,FEMALE,-1235
2045-2049,15-19,MALE,14082
2050-2054,25-29,FEMALE,17163
2065-2069,35-39,MALE,28463
2055-2059,70-74,FEMALE,-1935
2040-2044,35-39,FEMALE,15501
2025-2029,85+,MALE,223
2040-2044,25-29,FEMALE,15296
2075-2079,5-9,MALE,7323
2055-2059,85+,FEMALE,356
2075-2079,30-34,FEMALE,19289
2075-2079,15-19,FEMALE,6595
2085-2089,10-14,FEMALE,5848
2035-2039,55-59,FEMALE,-3016
2095-2099,15-19,MALE,14619
2085-2089,85+,MALE,17
2095-2099,60-64,MALE,-1041
2060-2064,20-24,MALE,17759
2085-2089,10-14,FEMALE,5999
2035-2039,75-79,FEMALE,-713
2055-2059,85+,MALE,318
2070-2074,30-34,FEMALE,19183
2085-2089,35-39,FEMALE,16040
2065-2069,5-9,MALE,6402
2065-2069,35-39,MALE,25151
2050-2054,20-24,MALE,15709
2030-2034,85+,MALE,15
2025-2029,60-64,FEMALE,-1805
2055-2059,55-59,FEMALE,-3602
2070-2074,10-14,FEMALE,6106
2035-2039,85+,MALE,16
2090-2094,60-64,FEMALE,-4386
2085-2089,45-49,MALE,4279
2070-2074,60-64,FEMALE,-4336
2025-2029,5-9,FEMALE,1509
2070-2074,50-54,MALE,1474
2040-2044,5-9,FEMALE,5161
2075-2079,80-84,FEMALE,-2907
2080-2084,45-49,MALE,7342
2085-2089,65-69,MALE,-1684
2065-2069,0-4,FEMALE,4889
2095-2099,5-9,MALE,6987
2055-2059,55-59,MALE,2105
2030-2034,85+,MALE,24
2025-2029,80-84,MALE,-116
2040-2044,70-74,FEMALE,-1359
2065-2069,10-14,MALE,7617
2080-2084,70-74,FEMALE,-3783
2085-2089,0-4,FEMALE,4427
2070-2074,0-4,MALE,5995
2090-2094,75-79,MALE,-5354
2070-2074,40-44,FEMALE,8751
2095-2099,85+,MALE,17
2025-2029,40-44,MALE,12650
2080-2084,0-4,FEMALE,4317
2030-2034,35-39,MALE,21539
2090-2094,30-34,FEMALE,19297
2025-2029,60-64,FEMALE,-1081
2090-2094,20-24,MALE,22822
2030-2034,45-49,FEMALE,2640
2025-2029,15-19,FEMALE,2616
2030-2034,45-49,MALE,4143
2022-2024,85+,MALE,518
2050-2054,15-19,FEMALE,8069
2095-2099,5-9,MALE,6302
2030-2034,60-64,MALE,4569
2050-2054,20-24,FEMALE,14474
2050-2054,85+,FEMALE,235
2080-2084,25-29,MALE,25774
2022-2024,10-14,MALE,20013
2055-2059,20-24,MALE,17550
2055-2059,20-24,FEMALE,11184
2075-2079,80-84,FEMALE,-1355
2070-2074,5-9,MALE,7509
2050-2054,85+,FEMALE,341
2022-2024,85+,FEMALE,573
2080-2084,35-39,MALE,27823
2090-2094,10-14,MALE,8014
2030-2034,70-74,MALE,767
2025-2029,85+,FEMALE,274
2070-2074,70-74,FEMALE,-3752
2060-2064,85+,FEMALE,-1165
2025-2029,30-34,FEMALE,8496
2022-2024,55-59,MALE,12975
2065-2069,85+,FEMALE,270
2095-2099,25-29,MALE,24303
2060-2064,85+,MALE,-1133
2035-2039,65-69,FEMALE,-1537
2022-2024,20-24,MALE,36270
2065-2069,5-9,MALE,7487
2075-2079,30-34,MALE,29161
2030-2034,85+,FEMALE,28
2060-2064,5-9,FEMALE,5593
2095-2099,25-29,FEMALE,16748
2085-2089,70-74,MALE,-3909
2050-2054,25-29,MALE,23674
2045-2049,45-49,MALE,2468
2075-2079,60-64,FEMALE,-4398
2085-2089,50-54,MALE,2505
2080-2084,85+,FEMALE,341
2040-2044,0-4,FEMALE,4262
2040-2044,25-29,MALE,25232
2085-2089,25-29,MALE,28594
2025-2029,25-29,MALE,17120
2060-2064,85+,FEMALE,390
2070-2074,15-19,FEMALE,9309
2080-2084,85+,FEMALE,273
2040-2044,55-59,MALE,4302
2060-2064,0-4,FEMALE,4642
2050-2054,10-14,FEMALE,5682
2085-2089,85+,FEMALE,298
2040-2044,15-19,MALE,9582
2040-2044,60-64,FEMALE,-2413
2070-2074,0-4,FEMALE,7594
2045-2049,15-19,FEMALE,6621
2060-2064,75-79,MALE,-3653
2095-2099,10-14,MALE,8364
2030-2034,15-19,MALE,6856
2022-2024,25-29,FEMALE,30711
2060-2064,85+,FEMALE,294
2075-2079,30-34,FEMALE,19081
2055-2059,25-29,MALE,23908
2065-2069,75-79,FEMALE,-3328
2070-2074,75-79,FEMALE,-3095
2035-2039,50-54,FEMALE,-3647
2060-2064,20-24,FEMALE,10220
2065-2069,0-4,FEMALE,4465
2085-2089,0-4,FEMALE,4852
2075-2079,20-24,FEMALE,14800
2050-2054,40-44,MALE,18121
2070-2074,75-79,FEMALE,-3043
2040-2044,35-39,MALE,22449
2065-2069,85+,FEMALE,343
2035-2039,40-44,MALE,15806
2055-2059,25-29,FEMALE,15556
2090-2094,5-9,FEMALE,5562
2065-2069,30-34,MALE,28881
2035-2039,85+,MALE,222
2085-2089,30-34,FEMALE,19332
2050-2054,65-69,MALE,485
2040-2044,50-54,MALE,2549
2055-2059,15-19,MALE,10242
2060-2064,55-59,FEMALE,-3999
2055-2059,0-4,MALE,4836
2065-2069,15-19,MALE,13161
2060-2064,30-34,FEMALE,18902
2070-2074,50-54,MALE,2133
2022-2024,65-69,MALE,6069
2080-2084,5-9,FEMALE,5596
2045-2049,85+,MALE,493
2070-2074,55-59,MALE,2281
2075-2079,10-14,MALE,8895
2080-2084,85+,MALE,-2926
2022-2024,35-39,FEMALE,28785
2050-2054,0-4,MALE,5216
2050-2054,15-19,MALE,11433
2090-2094,80-84,FEMALE,-2737
2045-2049,85+,MALE,415
2095-2099,15-19,MALE,10480
,50-54,FEMALE,2477
2045-2049,30-34,FEMALE,17652
2055-2059,65-69,MALE,-1824
2070-2074,15-19,FEMALE,9296
2070-2074,50-54,MALE,1584
2080-2084,85+,FEMALE,-2273
2035-2039,15-19,MALE,11130
2022-2024,0-4,FEMALE,11421
2055-2059,15-19,FEMALE,8224
2065-2069,5-9,MALE,7296
2040-2044,5-9,MALE,5977
2035-2039,85+,FEMALE,315
2080-2084,40-44,MALE,22723
2080-2084,75-79,FEMALE,-3996
2050-2054,50-54,MALE,1565
2090-2094,40-44,FEMALE,11496
2095-2099,35-39,MALE,27081
2095-2099,75-79,FEMALE,-3900
2090-2094,5-9,MALE,7274
2095-2099,80-84,FEMALE,-2725
2030-2034,70-74,FEMALE,-626
2045-2049,55-59,MALE,2490
2050-2054,70-74,MALE,-2115
2095-2099,30-34,FEMALE,19281
2090-2094,75-79,MALE,-5236
2035-2039,5-9,MALE,5912
2080-2084,20-24,FEMALE,12557
2095-2099,20-24,MALE,17807
2095-2099,80-84,MALE,-5264
2075-2079,85+,FEMALE,343
2025-2029,15-19,FEMALE,3553
2080-2084,85+,MALE,42
2035-2039,55-59,MALE,4494
2022-2024,20-24,MALE,30524
2070-2074,20-24,MALE,16270
2060-2064,20-24,FEMALE,12440
2085-2089,75-79,FEMALE,-3656
2045-2049,30-34,MALE,27430
2080-2084,70-74,FEMALE,-4059
2090-2094,85+,FEMALE,-1952
2022-2024,15-19,FEMALE,21543
2065-2069,60-64,MALE,-487
2055-2059,45-49,FEMALE,-2926
2040-2044,50-54,FEMALE,-3008
2050-2054,20-24,MALE,22212
2030-2034,45-49,FEMALE,2416
2065-2069,25-29,MALE,25532
2070-2074,20-24,FEMALE,13674
2025-2029,85+,MALE,40
2070-2074,5-9,MALE,6802
2075-2079,35-39,FEMALE,17988
2075-2079,30-34,FEMALE,19196
2030-2034,25-29,FEMALE,13063
2075-2079,55-59,FEMALE,-4141
2090-2094,25-29,MALE,25688
2030-2034,75-79,FEMALE,-61
2025-2029,5-9,FEMALE,1346
2025-2029,85+,FEMALE,259
2035-2039,25-29,FEMALE,14988
2095-2099,75-79,MALE,-5638
2060-2064,55-59,MALE,1863
2095-2099,10-14,FEMALE,5813
2055-2059,85+,FEMALE,435
2040-2044,85+,FEMALE,278
2025-2029,70-74,MALE,1255
2050-2054,75-79,FEMALE,-1409
2065-2069,40-44,MALE,22109
2090-2094,85+,MALE,57
,75-79,MALE,729
2040-2044,85+,MALE,74
2035-2039,10-14,MALE,6491
2050-2054,25-29,FEMALE,16492
2055-2059,35-39,FEMALE,17544
2025-2029,85+,FEMALE,198
2035-2039,85+,MALE,519
2050-2054,55-59,MALE,2591
2075-2079,85+,FEMALE,317
2045-2049,80-84,FEMALE,-501
2065-2069,5-9,MALE,7498
2070-2074,85+,FEMALE,333
2050-2054,25-29,FEMALE,17141
2075-2079,25-29,FEMALE,18396
2075-2079,65-69,FEMALE,-3763
2085-2089,55-59,FEMALE,-4080
2070-2074,25-29,MALE,26734
2085-2089,80-84,MALE,-4130
2070-2074,25-29,FEMALE,18845
2070-2074,75-79,FEMALE,-2082
2045-2049,10-14,MALE,7661
2050-2054,60-64,MALE,659
2055-2059,15-19,FEMALE,7414
2080-2084,20-24,MALE,16330
2035-2039,75-79,FEMALE,-584
2025-2029,85+,FEMALE,147
2055-2059,85+,FEMALE,356
2070-2074,10-14,MALE,8387
2085-2089,45-49,FEMALE,3940
2030-2034,85+,MALE,15
2025-2029,20-24,FEMALE,-405
2022-2024,10-14,MALE,18221
2080-2084,5-9,FEMALE,5704
2040-2044,0-4,FEMALE,4200
2065-2069,50-54,FEMALE,-4518
2080-2084,0-4,MALE,4811
2045-2049,40-44,FEMALE,4342
2055-2059,40-44,FEMALE,10233
2060-2064,65-69,FEMALE,-2978
2085-2089,60-64,MALE,900
2085-2089,25-29,FEMALE,15839
2035-2039,40-44,FEMALE,4693
2095-2099,70-74,MALE,-3909
2040-2044,55-59,MALE,3990
2025-2029,70-74,FEMALE,-164
2050-2054,85+,MALE,362
2050-2054,60-64,MALE,1886
2022-2024,85+,MALE,736
2040-2044,45-49,MALE,3679
2085-2089,85+,FEMALE,272
2095-2099,15-19,MALE,9495
2045-2049,85+,FEMALE,269
2065-2069,5-9,FEMALE,5700
2050-2054,35-39,MALE,24909
2095-2099,75-79,FEMALE,-3785
2035-2039,30-34,MALE,23842
2050-2054,35-39,FEMALE,14752
2085-2089,5-9,FEMALE,5588
2065-2069,70-74,FEMALE,-3028
2065-2069,30-34,FEMALE,19038
2055-2059,35-39,FEMALE,15785
2075-2079,70-74,FEMALE,-4098
2065-2069,75-79,MALE,-3518
2030-2034,50-54,FEMALE,-3407
2070-2074,30-34,MALE,29269
2045-2049,70-74,FEMALE,-1502
2085-2089,80-84,MALE,-4255
2070-2074,75-79,FEMALE,-2109
2070-2074,45-49,MALE,9124
2070-2074,20-24,MALE,21277
2050-2054,55-59,FEMALE,-4405
2045-2049,60-64,MALE,688
2040-2044,15-19,MALE,12383
2040-2044,10-14,MALE,8231
2035-2039,50-54,FEMALE,-2317
2060-2064,85+,MALE,570
2045-2049,55-59,FEMALE,-3557
2055-2059,75-79,FEMALE,-2708
2065-2069,80-84,FEMALE,-1073
2045-2049,55-59,FEMALE,-4354
2075-2079,85+,FEMALE,234
2060-2064,0-4,FEMALE,7600
2045-2049,30-34,FEMALE,17921
2085-2089,75-79,FEMALE,-3624
2090-2094,75-79,FEMALE,-3960
2095-2099,30-34,MALE,29556
2040-2044,55-59,MALE,4373
,35-39,FEMALE,14766
2075-2079,85+,FEMALE,254
2095-2099,0-4,FEMALE,4361
2065-2069,60-64,FEMALE,-3636
2040-2044,5-9,FEMALE,4796
2035-2039,70-74,FEMALE,-688
2022-2024,30-34,MALE,45108
2055-2059,45-49,FEMALE,414
2035-2039,30-34,FEMALE,16004
2060-2064,40-44,FEMALE,8104
2060-2064,85+,MALE,29
2030-2034,65-69,MALE,2641
2035-2039,75-79,FEMALE,-612
2050-2054,80-84,FEMALE,-1051
2035-2039,35-39,FEMALE,13573
2090-2094,55-59,MALE,2632
2022-2024,25-29,MALE,44390
2090-2094,10-14,MALE,8862
2085-2089,70-74,MALE,-3921
2050-2054,20-24,MALE,15782
2065-2069,75-79,MALE,-3665
2040-2044,70-74,FEMALE,-1788
2050-2054,50-54,FEMALE,-4908
2030-2034,85+,FEMALE,193
2055-2059,85+,MALE,-729
2030-2034,85+,FEMALE,354
2080-2084,85+,MALE,29
2075-2079,55-59,MALE,2351
2040-2044,25-29,FEMALE,15197
2095-2099,60-64,FEMALE,-4391
2030-2034,25-29,FEMALE,13542
2040-2044,85+,FEMALE,281
2060-2064,85+,FEMALE,270
2030-2034,45-49,FEMALE,-2022
2080-2084,70-74,FEMALE,-3842
2070-2074,20-24,FEMALE,13682
2025-2029,85+,MALE,286
2040-2044,85+,MALE,17
2055-2059,85+,MALE,219
2035-2039,25-29,FEMALE,13762
2065-2069,85+,FEMALE,294
2040-2044,15-19,FEMALE,7672
2035-2039,45-49,MALE,7131
2035-2039,5-9,MALE,6177
2090-2094,50-54,FEMALE,-3640
2022-2024,85+,FEMALE,744
2060-2064,65-69,MALE,-1954
2070-2074,80-84,MALE,-3107
2090-2094,60-64,MALE,1355
2045-2049,35-39,FEMALE,16519
2085-2089,30-34,FEMALE,19325
2050-2054,25-29,FEMALE,16515
2055-2059,80-84,FEMALE,-1130
2040-2044,65-69,MALE,258
2070-2074,5-9,MALE,7069
2080-2084,50-54,FEMALE,-4229
2055-2059,85+,FEMALE,356
2040-2044,40-44,FEMALE,10068
2090-2094,45-49,MALE,12576
2090-2094,50-54,FEMALE,-4130
2025-2029,15-19,MALE,9253
2055-2059,5-9,MALE,7398
2030-2034,70-74,FEMALE,-689
2055-2059,55-59,MALE,1695
2085-2089,20-24,MALE,21273
2030-2034,20-24,MALE,14439
2075-2079,85+,MALE,18
2050-2054,75-79,MALE,-2561
2075-2079,50-54,MALE,1939
2080-2084,85+,FEMALE,292
2085-2089,60-64,MALE,-925
2085-2089,55-59,MALE,2451
2090-2094,25-29,FEMALE,17624
2045-2049,85+,FEMALE,333
2045-2049,75-79,MALE,-1361
2075-2079,15-19,FEMALE,7008
2080-2084,85+,MALE,77
2040-2044,75-79,FEMALE,-692
2070-2074,75-79,FEMALE,-1884
2085-2089,80-84,MALE,-4289
2022-2024,75-79,MALE,2642
2030-2034,30-34,FEMALE,13864
2085-2089,45-49,MALE,4247
2085-2089,85+,MALE,247
2040-2044,20-24,MALE,15838
2075-2079,25-29,FEMALE,18901
2075-2079,70-74,FEMALE,-3274
2060-2064,75-79,MALE,-3114
2035-2039,75-79,FEMALE,-843
2022-2024,60-64,FEMALE,4035
2022-2024,50-54,FEMALE,7026
2090-2094,25-29,FEMALE,17642
2055-2059,50-54,FEMALE,-4767
,5-9,FEMALE,6922
2085-2089,5-9,MALE,7295
2022-2024,45-49,MALE,22420
2045-2049,50-54,MALE,1472
2022-2024,75-79,FEMALE,1321
2045-2049,40-44,FEMALE,6569
2035-2039,85+,MALE,260
2050-2054,85+,MALE,362
2060-2064,25-29,FEMALE,15716
2050-2054,60-64,FEMALE,-2552
2075-2079,55-59,FEMALE,-4289
2070-2074,70-74,FEMALE,-3037
2060-2064,15-19,MALE,9435
2065-2069,70-74,FEMALE,-2816
2055-2059,65-69,FEMALE,-3509
2045-2049,85+,FEMALE,341
2070-2074,20-24,FEMALE,11394
2060-2064,75-79,MALE,-3480
2035-2039,55-59,FEMALE,-2290
2030-2034,85+,MALE,461
2045-2049,10-14,FEMALE,5823
2080-2084,70-74,FEMALE,-4155
2050-2054,35-39,FEMALE,16107
2080-2084,70-74,FEMALE,-3011
2045-2049,75-79,MALE,-1614
2035-2039,55-59,FEMALE,-1122
2085-2089,70-74,FEMALE,-3806
2030-2034,55-59,FEMALE,-1086
2075-2079,80-84,MALE,-4389
2075-2079,30-34,MALE,29684
2030-2034,60-64,MALE,5115
2060-2064,75-79,FEMALE,-2527
2060-2064,85+,MALE,-959
2080-2084,35-39,MALE,29186
2055-2059,0-4,FEMALE,4630
2055-2059,30-34,FEMALE,18794
2055-2059,85+,FEMALE,254
2025-2029,35-39,MALE,11993
2085-2089,40-44,MALE,18099
2045-2049,45-49,FEMALE,-703
2065-2069,0-4,MALE,8056
2030-2034,20-24,FEMALE,10129
2040-2044,80-84,MALE,-777
2085-2089,5-9,FEMALE,5571
2025-2029,45-49,MALE,9454
2080-2084,10-14,MALE,7654
2070-2074,10-14,MALE,8040
2022-2024,75-79,MALE,2377
2070-2074,65-69,MALE,-2420
2045-2049,75-79,MALE,-1730
2095-2099,75-79,MALE,-5398
2025-2029,70-74,MALE,1572
2025-2029,70-74,FEMALE,-1111
2080-2084,55-59,FEMALE,-4341
2060-2064,45-49,MALE,3248
2045-2049,85+,MALE,219
2085-2089,10-14,FEMALE,5840
2070-2074,35-39,FEMALE,15766
2070-2074,70-74,MALE,-3710
2025-2029,45-49,MALE,6395
2065-2069,85+,MALE,21
2035-2039,55-59,MALE,4309
2075-2079,50-54,FEMALE,-4253
2040-2044,35-39,MALE,23514
2080-2084,0-4,MALE,5211
2095-2099,0-4,MALE,5495
2060-2064,25-29,FEMALE,18634
2060-2064,0-4,MALE,8054
2040-2044,35-39,FEMALE,14796
2075-2079,55-59,MALE,2094
2075-2079,85+,FEMALE,263
2075-2079,45-49,FEMALE,-785
2065-2069,25-29,MALE,27461
2025-2029,85+,MALE,250
2085-2089,85+,MALE,315
2040-2044,60-64,MALE,3646
2035-2039,85+,MALE,198
2030-2034,35-39,MALE,20724
2035-2039,70-74,MALE,1401
2022-2024,70-74,FEMALE,2464
2025-2029,50-54,MALE,3978
2040-2044,0-4,MALE,7888
2045-2049,55-59,FEMALE,-4216
2055-2059,25-29,FEMALE,17374
2025-2029,40-44,MALE,12877
2050-2054,85+,MALE,415
2022-2024,15-19,FEMALE,18041
2070-2074,55-59,FEMALE,-4177
2095-2099,35-39,FEMALE,16124
2055-2059,5-9,MALE,7215
2065-2069,25-29,FEMALE,15734
2075-2079,0-4,MALE,5224
2090-2094,80-84,FEMALE,-2312
2045-2049,15-19,FEMALE,7238
2080-2084,5-9,MALE,6393
2095-2099,65-69,FEMALE,-4525
2070-2074,0-4,FEMALE,4648
2085-2089,55-59,FEMALE,-4154
2040-2044,20-24,MALE,16311
2025-2029,75-79,FEMALE,-116
2045-2049,85+,FEMALE,268
2050-2054,45-49,MALE,10624
2025-2029,15-19,FEMALE,5502
2095-2099,25-29,MALE,26794
2030-2034,15-19,MALE,10314
2035-2039,85+,FEMALE,308
2095-2099,65-69,FEMALE,-4487
2055-2059,35-39,MALE,26079
2080-2084,35-39,FEMALE,17522
2060-2064,5-9,MALE,7030
2085-2089,0-4,FEMALE,4857
2040-2044,80-84,FEMALE,-785
2090-2094,50-54,MALE,3523
2075-2079,75-79,MALE,-4627
2095-2099,65-69,FEMALE,-4511
2050-2054,75-79,FEMALE,-1320
2060-2064,60-64,FEMALE,-4219
2095-2099,55-59,FEMALE,-4030
2075-2079,10-14,MALE,7815
2022-2024,20-24,MALE,37673
2040-2044,75-79,FEMALE,-577
2085-2089,5-9,FEMALE,5690
2065-2069,10-14,MALE,8003
2070-2074,55-59,MALE,2249
2040-2044,75-79,FEMALE,-576
2040-2044,30-34,FEMALE,16930
2085-2089,10-14,FEMALE,6002
2025-2029,85+,MALE,34
2095-2099,50-54,MALE,2666
2075-2079,10-14,MALE,8056
2050-2054,40-44,FEMALE,11972
2075-2079,85+,MALE,317
2045-2049,55-59,FEMALE,-3873
2055-2059,85+,MALE,18
2080-2084,55-59,MALE,2360
2075-2079,25-29,FEMALE,17694
2075-2079,45-49,FEMALE,-799
2060-2064,45-49,MALE,3191
2080-2084,10-14,FEMALE,6125
,10-14,FEMALE,7029
2095-2099,85+,FEMALE,334
2080-2084,15-19,MALE,14726
2090-2094,20-24,FEMALE,12502
2090-2094,70-74,MALE,-5129
2025-2029,25-29,MALE,9280
2040-2044,75-79,FEMALE,-649
2040-2044,85+,FEMALE,426
2070-2074,30-34,FEMALE,18741
2065-2069,5-9,MALE,6399
2040-2044,15-19,MALE,9218
2030-2034,85+,MALE,453
2055-2059,45-49,MALE,2654
2070-2074,50-54,MALE,2505
2045-2049,75-79,MALE,-1770
2055-2059,85+,MALE,188
2055-2059,85+,FEMALE,197
2080-2084,50-54,MALE,3239
2025-2029,65-69,FEMALE,-949
2050-2054,30-34,FEMALE,17953
2030-2034,20-24,MALE,17742
2065-2069,85+,MALE,219
2040-2044,30-34,MALE,27001
2035-2039,70-74,MALE,1156
2022-2024,80-84,MALE,759
2090-2094,40-44,MALE,22862
2090-2094,85+,FEMALE,338
2025-2029,40-44,MALE,9912
2022-2024,80-84,MALE,881
2040-2044,70-74,MALE,-134
2055-2059,5-9,FEMALE,5561
2055-2059,85+,FEMALE,294
2090-2094,85+,MALE,57
2075-2079,85+,FEMALE,197
2070-2074,85+,MALE,494
2035-2039,45-49,FEMALE,1919
2080-2084,80-84,FEMALE,-2787
2035-2039,40-44,MALE,14386
2080-2084,65-69,FEMALE,-4207
2065-2069,55-59,MALE,1804
2085-2089,75-79,MALE,-4473
2070-2074,85+,MALE,78
2025-2029,15-19,FEMALE,1159
2095-2099,35-39,MALE,28680
2022-2024,35-39,MALE,38893
2022-2024,30-34,MALE,44767
2090-2094,75-79,MALE,-5350
2070-2074,65-69,FEMALE,-3849
2040-2044,40-44,MALE,18341
2040-2044,40-44,FEMALE,6344
2045-2049,80-84,FEMALE,-495
2030-2034,85+,MALE,35
2055-2059,50-54,FEMALE,-4697
2025-2029,50-54,FEMALE,-2554
2060-2064,85+,MALE,58
2070-2074,85+,FEMALE,435
2080-2084,20-24,MALE,17965
2090-2094,0-4,MALE,5930
2040-2044,30-34,FEMALE,16608
2045-2049,65-69,MALE,461
2040-2044,75-79,FEMALE,-1037
2095-2099,60-64,MALE,1383
2025-2029,20-24,FEMALE,2718
2095-2099,80-84,MALE,-5751
2085-2089,85+,FEMALE,266
2035-2039,5-9,FEMALE,5090
,85+,FEMALE,442
2070-2074,70-74,FEMALE,-3407
2055-2059,45-49,FEMALE,569
2090-2094,35-39,MALE,25994
2090-2094,85+,FEMALE,271
2095-2099,45-49,FEMALE,-2901
2070-2074,85+,FEMALE,-1654
2040-2044,25-29,FEMALE,14314
2075-2079,55-59,MALE,2315
2030-2034,10-14,FEMALE,3092
2090-2094,15-19,FEMALE,8358
2095-2099,55-59,MALE,2297
,35-39,MALE,25323
2085-2089,40-44,MALE,22849
2035-2039,85+,FEMALE,243
2085-2089,55-59,FEMALE,-4065
2080-2084,20-24,FEMALE,13706
2065-2069,25-29,FEMALE,18759
2035-2039,35-39,FEMALE,13938
2055-2059,15-19,FEMALE,9079
2025-2029,80-84,MALE,-144
2055-2059,40-44,FEMALE,12139
2065-2069,45-49,MALE,4613
2095-2099,0-4,FEMALE,4546
2050-2054,85+,FEMALE,343
2095-2099,15-19,FEMALE,7549
2045-2049,5-9,MALE,7223
2025-2029,85+,FEMALE,190
2080-2084,75-79,FEMALE,-2968
2070-2074,30-34,FEMALE,18936
2065-2069,15-19,MALE,11689
2080-2084,85+,MALE,218
2075-2079,10-14,FEMALE,5865
2060-2064,30-34,MALE,28921
2055-2059,85+,FEMALE,294
2055-2059,35-39,MALE,26790
2060-2064,75-79,FEMALE,-2639
2022-2024,80-84,MALE,653
