"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","State","State Code",Deaths,Population,Crude Rate
,"1-4 years","1-4","Female","F","Nevada","32",17,67830,Unreliable
,"1-4 years","1-4","Female","F","New Hampshire","33",Suppressed,24653,Suppressed
,"1-4 years","1-4","Female","F","New Jersey","34",34,203216,16.7
,"1-4 years","1-4","Female","F","New Mexico","35",20,42303,47.3
,"1-4 years","1-4","Female","F","New York","36",77,405914,19.0
,"1-4 years","1-4","Female","F","North Carolina","37",56,237788,23.6
,"1-4 years","1-4","Female","F","North Dakota","38",Suppressed,19538,Suppressed
,"1-4 years","1-4","Female","F","Ohio","39",68,259729,26.2
,"1-4 years","1-4","Female","F","Oklahoma","40",28,96141,29.1
,"1-4 years","1-4","Female","F","Oregon","41",10,80018,Unreliable
,"1-4 years","1-4","Female","F","Pennsylvania","42",54,261697,20.6
,"1-4 years","1-4","Female","F","Rhode Island","44",Suppressed,20919,Suppressed
,"1-4 years","1-4","Female","F","South Carolina","45",45,115048,39.1
,"1-4 years","1-4","Female","F","South Dakota","46",11,22812,Unreliable
,"1-4 years","1-4","Female","F","Tennessee","47",66,161536,40.9
,"1-4 years","1-4","Female","F","Texas","48",157,756919,20.7
,"1-4 years","1-4","Female","F","Utah","49",22,90610,24.3
,"1-4 years","1-4","Female","F","Vermont","50",Suppressed,10868,Suppressed
,"1-4 years","1-4","Female","F","Virginia","51",39,190362,20.5
,"1-4 years","1-4","Female","F","Washington","53",39,165651,23.5
,"1-4 years","1-4","Female","F","West Virginia","54",11,34270,Unreliable
,"1-4 years","1-4","Female","F","Wisconsin","55",34,122899,27.7
,"1-4 years","1-4","Female","F","Wyoming","56",Suppressed,12072,Suppressed
,"1-4 years","1-4","Male","M","Alabama","01",55,119894,45.9
,"1-4 years","1-4","Male","M","Alaska","02",Suppressed,18724,Suppressed
,"1-4 years","1-4","Male","M","Arizona","04",60,161121,37.2
,"1-4 years","1-4","Male","M","Arkansas","05",23,74557,30.8
,"1-4 years","1-4","Male","M","California","06",212,859287,24.7
,"1-4 years","1-4","Male","M","Colorado","08",31,126430,24.5
,"1-4 years","1-4","Male","M","Connecticut","09",18,74716,Unreliable
,"1-4 years","1-4","Male","M","Delaware","10",Suppressed,22280,Suppressed
,"1-4 years","1-4","Male","M","District of Columbia","11",Suppressed,15625,Suppressed
,"1-4 years","1-4","Male","M","Florida","12",162,459345,35.3
,"1-4 years","1-4","Male","M","Georgia","13",97,260631,37.2
,"1-4 years","1-4","Male","M","Hawaii","15",13,31984,Unreliable
,"1-4 years","1-4","Male","M","Idaho","16",16,46849,Unreliable
,"1-4 years","1-4","Male","M","Illinois","17",75,274681,27.3
,"1-4 years","1-4","Male","M","Indiana","18",49,167457,29.3
,"1-4 years","1-4","Male","M","Iowa","19",27,76203,35.4
,"1-4 years","1-4","Male","M","Kansas","20",18,71911,Unreliable
,"1-4 years","1-4","Male","M","Kentucky","21",40,108338,36.9
,"1-4 years","1-4","Male","M","Louisiana","22",59,114102,51.7
