"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births,Female Population,Fertility Rate
,"Ohio","39","35-39 years","35-39",18382,383844,47.9
,"Ohio","39","40-44 years","40-44",3481,371569,9.4
,"Ohio","39","45-49 years","45-49",205,Not Available,Not Available
,"Ohio","39","50 years and over","50+",22,Not Available,Not Available
,"Oklahoma","40","Under 15 years","15",38,Not Available,Not Available
,"Oklahoma","40","15-19 years","15-19",2746,140158,19.6
,"Oklahoma","40","20-24 years","20-24",11643,139993,83.2
,"Oklahoma","40","25-29 years","25-29",15090,132307,114.1
,"Oklahoma","40","30-34 years","30-34",11869,139176,85.3
,"Oklahoma","40","35-39 years","35-39",5434,134988,40.3
,"Oklahoma","40","40-44 years","40-44",1097,135313,8.1
,"Oklahoma","40","45-49 years","45-49",41,Not Available,Not Available
,"Oklahoma","40","50 years and over","50+",Suppressed,Not Available,Suppressed
,"Oregon","41","Under 15 years","15",10,Not Available,Not Available
,"Oregon","41","15-19 years","15-19",1133,125913,9.0
,"Oregon","41","20-24 years","20-24",5931,129955,45.6
,"Oregon","41","25-29 years","25-29",10769,137411,78.4
,"Oregon","41","30-34 years","30-34",12073,153956,78.4
,"Oregon","41","35-39 years","35-39",7287,150787,48.3
,"Oregon","41","40-44 years","40-44",1639,147868,11.1
,"Oregon","41","45-49 years","45-49",112,Not Available,Not Available
,"Oregon","41","50 years and over","50+",Suppressed,Not Available,Suppressed
,"Pennsylvania","42","Under 15 years","15",57,Not Available,Not Available
,"Pennsylvania","42","15-19 years","15-19",4034,416257,9.7
,"Pennsylvania","42","20-24 years","20-24",19005,405043,46.9
,"Pennsylvania","42","25-29 years","25-29",33580,392609,85.5
,"Pennsylvania","42","30-34 years","30-34",42563,432996,98.3
,"Pennsylvania","42","35-39 years","35-39",23073,433233,53.3
,"Pennsylvania","42","40-44 years","40-44",4623,406274,11.4
,"Pennsylvania","42","45-49 years","45-49",334,Not Available,Not Available
,"Pennsylvania","42","50 years and over","50+",30,Not Available,Not Available
,"Rhode Island","44","Under 15 years","15",Suppressed,Not Available,Suppressed
,"Rhode Island","44","15-19 years","15-19",273,36309,7.5
,"Rhode Island","44","20-24 years","20-24",1204,38357,31.4
,"Rhode Island","44","25-29 years","25-29",2373,35443,67.0
,"Rhode Island","44","30-34 years","30-34",3580,39490,90.7
,"Rhode Island","44","35-39 years","35-39",2097,37615,55.7
,"Rhode Island","44","40-44 years","40-44",448,35068,12.8
,"Rhode Island","44","45-49 years","45-49",29,Not Available,Not Available
,"Rhode Island","44","50 years and over","50+",Suppressed,Not Available,Suppressed
,"South Carolina","45","Under 15 years","15",44,Not Available,Not Available
,"South Carolina","45","15-19 years","15-19",3072,176964,17.4
,"South Carolina","45","20-24 years","20-24",11342,172215,65.9
,"South Carolina","45","25-29 years","25-29",17129,168829,101.5
,"South Carolina","45","30-34 years","30-34",16906,186316,90.7
,"South Carolina","45","35-39 years","35-39",8349,180416,46.3
,"South Carolina","45","40-44 years","40-44",1827,174613,10.5
,"South Carolina","45","45-49 years","45-49",92,Not Available,Not Available
,"South Carolina","45","50 years and over","50+",Suppressed,Not Available,Suppressed
,"South Dakota","46","Under 15 years","15",Suppressed,Not Available,Suppressed
,"South Dakota","46","15-19 years","15-19",469,30660,15.3
,"South Dakota","46","20-24 years","20-24",2030,29433,69.0
,"South Dakota","46","25-29 years","25-29",3687,27054,136.3
,"South Dakota","46","30-34 years","30-34",3437,28047,122.5
,"South Dakota","46","35-39 years","35-39",1512,28230,53.6
,"South Dakota","46","40-44 years","40-44",290,28183,10.3
,"South Dakota","46","45-49 years","45-49",17,Not Available,Not Available
,"South Dakota","46","50 years and over","50+",Suppressed,Not Available,Suppressed
,"Tennessee","47","Under 15 years","15",71,Not Available,Not Available
