GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
05,5-9,MALE,22.513937094042806
06,5-9,FEMALE,7.937501611277941
06,5-9,MALE,8.036720381418915
08,5-9,FEMALE,10.350023681452914
08,5-9,MALE,10.54348206802213
09,5-9,FEMALE,8.384798411755646
09,5-9,MALE,7.994807787953058
10,5-9,FEMALE,9.343990563591335
10,5-9,MALE,14.16352253849634
11,5-9,FEMALE,9.331375999015036
11,5-9,MALE,14.144401514296476
12,5-9,FEMALE,11.629961744215116
12,5-9,MALE,14.828201223874276
13,5-9,FEMALE,14.88560423975706
13,5-9,MALE,14.395946205554525
15,5-9,FEMALE,8.603346969703523
15,5-9,MALE,9.581000034442559
16,5-9,FEMALE,10.861231464452429
16,5-9,MALE,12.231116514023006
17,5-9,FEMALE,13.199794038807298
17,5-9,MALE,15.46543032905034
18,5-9,FEMALE,11.095542680257347
18,5-9,MALE,17.534920128620985
19,5-9,FEMALE,11.86102092959856
19,5-9,MALE,18.763746224692806
20,5-9,FEMALE,12.090321671865905
20,5-9,MALE,15.063351591177193
21,5-9,FEMALE,14.424172781240229
21,5-9,MALE,16.40008686086218
22,5-9,FEMALE,13.973583607291202
22,5-9,MALE,25.015646178087746
23,5-9,FEMALE,8.409037387901074
23,5-9,MALE,8.017919369859165
24,5-9,FEMALE,10.467712383568466
24,5-9,MALE,14.053873107568773
25,5-9,FEMALE,8.309366260301841
25,5-9,MALE,7.922884108659895
26,5-9,FEMALE,7.595600467043601
26,5-9,MALE,16.078998391274116
27,5-9,FEMALE,10.729316758378259
27,5-9,MALE,15.216121948245531
28,5-9,FEMALE,14.373822458513827
28,5-9,MALE,27.566234851944326
29,5-9,FEMALE,12.773067079746246
29,5-9,MALE,15.743547795966302
30,5-9,FEMALE,10.467897250981471
30,5-9,MALE,10.66355888184094
31,5-9,FEMALE,11.775322829244347
31,5-9,MALE,14.67089401676345
32,5-9,FEMALE,8.552793874335482
32,5-9,MALE,9.524702269146331
33,5-9,FEMALE,8.346382794701622
33,5-9,MALE,7.958178943785267
34,5-9,FEMALE,7.67112565266818
34,5-9,MALE,9.04799435955734
35,5-9,FEMALE,11.487745124432648
35,5-9,MALE,13.41845859072385
36,5-9,FEMALE,10.63556173555691
36,5-9,MALE,11.521858546853318
37,5-9,FEMALE,16.117853120415504
37,5-9,MALE,14.56432510880919
38,5-9,FEMALE,10.348245908644879
38,5-9,MALE,10.541671065815812
39,5-9,FEMALE,10.984757185643732
39,5-9,MALE,17.81311976050335
40,5-9,FEMALE,19.495635179863562
40,5-9,MALE,13.686329747479975
41,5-9,FEMALE,10.835236321028463
41,5-9,MALE,12.201842703860882
42,5-9,FEMALE,9.135335777305642
42,5-9,MALE,12.966283038756394
44,5-9,FEMALE,8.324804665791357
44,5-9,MALE,7.9376044487778055
45,5-9,FEMALE,13.407077843713115
45,5-9,MALE,18.985205121754337
46,5-9,FEMALE,10.271743012711399
46,5-9,MALE,10.463738209210678
47,5-9,FEMALE,21.296631267147927
47,5-9,MALE,13.739762107837372
48,5-9,FEMALE,9.818619850249467
48,5-9,MALE,11.082402603251875
49,5-9,FEMALE,10.231130112003292
49,5-9,MALE,10.422366188863167
50,5-9,FEMALE,8.32528312236644
50,5-9,MALE,7.938060651558698
51,5-9,FEMALE,10.004334530098616
51,5-9,MALE,15.006501795147926
53,5-9,FEMALE,11.828438369177544
53,5-9,MALE,13.306993165324737
54,5-9,FEMALE,9.583036371317199
54,5-9,MALE,14.525865657575546
55,5-9,FEMALE,14.11637602492637
55,5-9,MALE,13.430163301492447
56,5-9,FEMALE,10.49890647493618
56,5-9,MALE,10.695147717458353
01,10-14,FEMALE,17.53486132184084
01,10-14,MALE,29.388035734928785
02,10-14,FEMALE,13.708182945947078
02,10-14,MALE,19.152567662067902
04,10-14,FEMALE,18.01312236694632
04,10-14,MALE,26.040709508737617
05,10-14,FEMALE,14.747120367276947
05,10-14,MALE,34.50826165942806
06,10-14,FEMALE,11.112502255789117
06,10-14,MALE,12.898440118326654
08,10-14,FEMALE,14.219191412837182
08,10-14,MALE,20.022943009913583
09,10-14,FEMALE,10.139756218867294
09,10-14,MALE,11.699718714077648
10,10-14,FEMALE,11.606219857934502
10,10-14,MALE,18.294549945557772
11,10-14,FEMALE,11.590551240881835
11,10-14,MALE,18.26985195596628
12,10-14,FEMALE,12.405292527162793
12,10-14,MALE,21.321596531061047
13,10-14,FEMALE,12.33938246190388
13,10-14,MALE,24.189106889605224
15,10-14,FEMALE,12.807255148081378
15,10-14,MALE,14.95809189050726
16,10-14,FEMALE,13.796699427817948
16,10-14,MALE,19.276239626100256
