GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
08,5-9,MALE,12.1
08,5-9,FEMALE,8.0
09,5-9,MALE,8.4
09,5-9,FEMALE,6.7
10,5-9,MALE,12.7
10,5-9,FEMALE,10.5
10,5-9,MALE,12.7
10,5-9,FEMALE,10.5
10,5-9,MALE,12.7
10,5-9,FEMALE,10.5
11,5-9,MALE,12.7
11,5-9,FEMALE,10.5
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
