GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
49,10-14,MALE,17.9
50,10-14,FEMALE,10.4
50,10-14,MALE,12.0
51,10-14,FEMALE,13.5
51,10-14,MALE,16.4
53,10-14,FEMALE,15.2
53,10-14,MALE,19.9
54,10-14,FEMALE,11.8
54,10-14,MALE,18.6
55,10-14,FEMALE,12.9
55,10-14,MALE,21.0
56,10-14,FEMALE,15.9
56,10-14,MALE,22.7
01,15-19,FEMALE,45.9
01,15-19,MALE,115.5
02,15-19,FEMALE,40.0
02,15-19,MALE,102.2
04,15-19,FEMALE,43.9
04,15-19,MALE,90.9
05,15-19,FEMALE,37.1
05,15-19,MALE,114.6
06,15-19,FEMALE,27.0
06,15-19,MALE,62.3
08,15-19,FEMALE,34.9
08,15-19,MALE,97.7
09,15-19,FEMALE,17.8
09,15-19,MALE,52.1
10,15-19,FEMALE,25.1
10,15-19,MALE,78.9
11,15-19,FEMALE,25.1
11,15-19,MALE,212.1
12,15-19,FEMALE,28.9
12,15-19,MALE,79.9
13,15-19,FEMALE,42.2
13,15-19,MALE,93.9
15,15-19,FEMALE,29.9
15,15-19,MALE,67.8
16,15-19,FEMALE,39.3
16,15-19,MALE,79.1
17,15-19,FEMALE,31.3
17,15-19,MALE,88.5
18,15-19,FEMALE,33.1
18,15-19,MALE,104.9
19,15-19,FEMALE,32.7
19,15-19,MALE,60.9
20,15-19,FEMALE,50.2
20,15-19,MALE,99.2
21,15-19,FEMALE,46.7
21,15-19,MALE,95.4
22,15-19,FEMALE,49.7
22,15-19,MALE,152.3
23,15-19,FEMALE,20.1
23,15-19,MALE,57.4
24,15-19,FEMALE,32.8
24,15-19,MALE,82.6
25,15-19,FEMALE,16.0
25,15-19,MALE,42.1
26,15-19,FEMALE,31.1
26,15-19,MALE,68.3
27,15-19,FEMALE,36.0
27,15-19,MALE,60.8
28,15-19,FEMALE,55.7
28,15-19,MALE,170.0
29,15-19,FEMALE,39.3
29,15-19,MALE,112.2
30,15-19,FEMALE,37.5
30,15-19,MALE,102.9
31,15-19,FEMALE,40.9
31,15-19,MALE,74.2
32,15-19,FEMALE,36.8
32,15-19,MALE,94.3
33,15-19,FEMALE,20.1
33,15-19,MALE,47.3
34,15-19,FEMALE,21.4
34,15-19,MALE,48.2
35,15-19,FEMALE,48.2
35,15-19,MALE,157.0
36,15-19,FEMALE,22.3
36,15-19,MALE,46.4
37,15-19,FEMALE,37.3
37,15-19,MALE,100.6
38,15-19,FEMALE,37.5
38,15-19,MALE,81.0
39,15-19,FEMALE,27.5
39,15-19,MALE,79.7
40,15-19,FEMALE,57.0
40,15-19,MALE,108.2
41,15-19,FEMALE,29.8
41,15-19,MALE,93.9
42,15-19,FEMALE,18.8
42,15-19,MALE,69.1
44,15-19,FEMALE,20.1
44,15-19,MALE,47.9
45,15-19,FEMALE,28.9
45,15-19,MALE,99.0
46,15-19,FEMALE,75.4
46,15-19,MALE,81.0
47,15-19,FEMALE,44.0
47,15-19,MALE,117.9
48,15-19,FEMALE,32.3
48,15-19,MALE,92.1
49,15-19,FEMALE,31.8
49,15-19,MALE,59.6
50,15-19,FEMALE,20.1
50,15-19,MALE,47.9
51,15-19,FEMALE,25.5
51,15-19,MALE,85.7
53,15-19,FEMALE,43.3
53,15-19,MALE,75.6
54,15-19,FEMALE,38.0
54,15-19,MALE,75.3
55,15-19,FEMALE,37.3
55,15-19,MALE,76.4
56,15-19,FEMALE,37.5
56,15-19,MALE,110.3
01,20-24,FEMALE,71.2
01,20-24,MALE,190.4
02,20-24,FEMALE,99.1
02,20-24,MALE,254.9
04,20-24,FEMALE,51.1
04,20-24,MALE,152.9
05,20-24,FEMALE,64.9
05,20-24,MALE,180.1
06,20-24,FEMALE,42.6
06,20-24,MALE,119.5
08,20-24,FEMALE,49.7
08,20-24,MALE,148.4
09,20-24,FEMALE,32.2
09,20-24,MALE,87.9
10,20-24,FEMALE,49.0
10,20-24,MALE,158.2
11,20-24,FEMALE,49.0
11,20-24,MALE,214.8
12,20-24,FEMALE,50.9
12,20-24,MALE,137.9
13,20-24,FEMALE,62.8
13,20-24,MALE,175.8
15,20-24,FEMALE,44.5
15,20-24,MALE,101.5
16,20-24,FEMALE,52.5
16,20-24,MALE,148.0
