ORIGIN_FIPS,DESTINATION_FIPS,AGE_GROUP,SEX,MIGRATION_RATE
01,26,35-39,FEMALE,3.896007998302822e-05
01,26,35-39,MALE,1.5190211690133747e-05
01,26,5-9,FEMALE,0.0001555751383192509
01,26,5-9,MALE,6.065745465154909e-05
01,28,0-4,FEMALE,0.00017172999365506014
01,28,0-4,MALE,0.00014346654663923984
01,28,20-24,FEMALE,0.0007169618360247743
01,28,20-24,MALE,0.0005989637366039258
01,28,25-29,FEMALE,0.0005934005770394573
01,28,25-29,MALE,0.0004957382793164427
01,28,35-39,FEMALE,0.00023870572427670393
01,28,35-39,MALE,0.0001994193628969961
01,28,45-49,FEMALE,0.0002612106464589779
01,28,45-49,MALE,0.00021822040865002217
01,28,5-9,FEMALE,0.00023229401947643812
01,28,5-9,MALE,0.00019406290112706189
01,28,55-59,FEMALE,0.00015693155544582436
01,28,55-59,MALE,0.00013110364613277566
01,28,60-64,FEMALE,0.00011179027389544918
01,28,60-64,MALE,9.339174946835084e-05
01,28,65-69,FEMALE,4.5731390513525e-05
01,28,65-69,MALE,3.8204885066054987e-05
01,28,75-79,FEMALE,5.946737027116584e-05
01,28,75-79,MALE,4.968018730413416e-05
01,29,20-24,FEMALE,6.542587815721402e-06
01,29,20-24,MALE,1.0696611825703245e-05
01,29,25-29,FEMALE,1.7706186849871848e-05
01,29,25-29,MALE,2.894821024661588e-05
01,29,5-9,FEMALE,5.100033589571875e-06
01,29,5-9,MALE,8.338150154379416e-06
01,32,0-4,FEMALE,0.00010590088212065071
01,32,0-4,MALE,6.694883352454929e-05
01,32,20-24,FEMALE,8.977738123121618e-05
01,32,20-24,MALE,5.67558157208838e-05
01,32,25-29,FEMALE,5.913937660118162e-05
01,32,25-29,MALE,3.738696221913781e-05
01,32,35-39,FEMALE,0.00016688828688508732
01,32,35-39,MALE,0.00010550408941011268
01,32,45-49,FEMALE,8.563461227615703e-05
01,32,45-49,MALE,5.413682385274295e-05
01,32,5-9,FEMALE,6.960841528312606e-05
01,32,5-9,MALE,4.400532000657394e-05
01,32,65-69,FEMALE,4.701782519387337e-05
01,32,65-69,MALE,2.9723912478885467e-05
01,32,75-79,FEMALE,4.458139675612341e-05
01,32,75-79,MALE,2.8183641627434337e-05
01,35,20-24,MALE,2.298559952189953e-05
01,35,35-39,MALE,1.3127343435918052e-05
01,36,0-4,FEMALE,7.185957142664539e-05
01,36,0-4,MALE,9.08225138864546e-05
01,36,20-24,FEMALE,6.726460718981594e-05
01,36,20-24,MALE,8.501498964268404e-05
01,36,25-29,FEMALE,0.000158469007781065
01,36,25-29,MALE,0.00020028721816773496
01,36,35-39,FEMALE,4.1314890690956806e-05
01,36,35-39,MALE,5.2217431289959304e-05
01,36,45-49,FEMALE,3.3193295736147818e-06
01,36,45-49,MALE,4.195263766652017e-06
01,36,5-9,FEMALE,2.2664287586005965e-05
01,36,5-9,MALE,2.8645141254535322e-05
01,36,55-59,FEMALE,2.16562166961648e-05
01,36,55-59,MALE,2.7371051657652737e-05
01,37,0-4,FEMALE,0.00035707610339148635
01,37,0-4,MALE,0.00030043065808261365
01,37,20-24,FEMALE,0.00037292741713140505
01,37,20-24,MALE,0.00031376736858529494
01,37,25-29,FEMALE,0.0004578112222092209
01,37,25-29,MALE,0.00038518547015487913
01,37,35-39,FEMALE,7.663830222566758e-05
01,37,35-39,MALE,6.448063971043242e-05
01,37,45-49,FEMALE,0.00014365101877873788
01,37,45-49,MALE,0.00012086266679856208
01,37,5-9,FEMALE,0.0001532570400051614
01,37,5-9,MALE,0.0001289448186177386
01,37,55-59,FEMALE,8.154068534959062e-05
01,37,55-59,MALE,6.860532398390937e-05
01,37,75-79,FEMALE,2.5147144726510038e-05
01,37,75-79,MALE,2.115787969939035e-05
01,39,20-24,FEMALE,2.0664938031699988e-05
01,39,20-24,MALE,0.00013736105868130001
01,39,25-29,FEMALE,1.8934012614754957e-06
01,39,25-29,MALE,1.258554956157242e-05
01,39,45-49,FEMALE,1.375748626910382e-06
01,39,45-49,MALE,9.144682049463133e-06
01,39,5-9,FEMALE,1.2780370553687932e-06
01,39,5-9,MALE,8.49518748568669e-06
01,39,65-69,FEMALE,1.5994011192848453e-05
01,39,65-69,MALE,0.00010631313322305154
01,40,20-24,FEMALE,6.435967866131868e-05
01,40,20-24,MALE,2.7582719426279435e-05
01,40,25-29,FEMALE,1.576596867398551e-05
01,40,25-29,MALE,6.756843717422361e-06
01,40,5-9,FEMALE,1.4537671504820031e-05
01,40,5-9,MALE,6.230430644922871e-06
01,40,75-79,FEMALE,1.6206758549065138e-05
01,40,75-79,MALE,6.945753663885059e-06
01,42,20-24,FEMALE,4.326767626535827e-05
01,42,20-24,MALE,8.602632104524175e-05
01,42,25-29,FEMALE,2.36882222564301e-05
01,42,25-29,MALE,4.709775954513749e-05
01,42,35-39,FEMALE,2.1965043150650283e-05
01,42,35-39,MALE,4.367167402893998e-05
01,42,45-49,FEMALE,1.9614863718885383e-05
01,42,45-49,MALE,3.899896433519565e-05
01,42,5-9,FEMALE,6.949955443811602e-06
01,42,5-9,MALE,1.3818146705931302e-05
01,42,55-59,FEMALE,7.177958826407833e-06
01,42,55-59,MALE,1.4271471078387339e-05
01,42,60-64,FEMALE,1.463315708126016e-05
01,42,60-64,MALE,2.9094159373329024e-05
01,44,25-29,FEMALE,1.6367509626054167e-05
01,44,25-29,MALE,1.2590392020041666e-05
01,44,45-49,FEMALE,1.783899114689422e-05
01,44,45-49,MALE,1.3722300882226323e-05
01,44,5-9,FEMALE,8.285994719590518e-06
01,44,5-9,MALE,6.373842091992706e-06
01,45,0-4,FEMALE,5.323539783622907e-05
01,45,0-4,MALE,4.166248526313579e-05
01,45,20-24,FEMALE,0.00026111080432495614
01,45,20-24,MALE,0.0002043475859934439
01,45,25-29,FEMALE,0.00017508151374641222
01,45,25-29,MALE,0.0001370203151058878
01,45,35-39,FEMALE,6.351553058775853e-05
01,45,35-39,MALE,4.9707806546941454e-05
01,45,45-49,FEMALE,3.6253330797677384e-05
01,45,45-49,MALE,2.8372171928617077e-05
01,45,5-9,FEMALE,3.083929085363545e-05
01,45,5-9,MALE,2.413509718980165e-05
01,45,55-59,FEMALE,0.0001323586772173683
01,45,55-59,MALE,0.0001035850517353317
01,45,60-64,FEMALE,3.9625316787179314e-05
01,45,60-64,MALE,3.101111748561859e-05
01,45,75-79,FEMALE,4.267483958414862e-05
01,45,75-79,MALE,3.33977005441163e-05
01,47,0-4,FEMALE,0.00041023430480835145
01,47,0-4,MALE,0.00039978691164684846
01,47,20-24,FEMALE,0.0012645069050825886
01,47,20-24,MALE,0.0012323038429837112
01,47,25-29,FEMALE,0.0009842311319392496
01,47,25-29,MALE,0.0009591658229764503
01,47,35-39,FEMALE,0.00043297235090675396
01,47,35-39,MALE,0.000421945890357346
01,47,45-49,FEMALE,0.00028543178057289766
01,47,45-49,MALE,0.0002781627199471023
01,47,5-9,FEMALE,0.0003557552473604546
01,47,5-9,MALE,0.0003466952665278454
01,47,55-59,FEMALE,0.00022502009102306068
01,47,55-59,MALE,0.0002192895284333393
01,47,60-64,FEMALE,0.0001788687007165409
01,47,60-64,MALE,0.00017431347064735908
01,47,65-69,FEMALE,0.00012874284312824506
