ORIGIN_FIPS,DESTINATION_FIPS,AGE_GROUP,SEX,MIGRATION_RATE
01,51,45-49,FEMALE,2.367268674998e-05
01,51,45-49,MALE,3.837586629013544e-05
01,51,5-9,FEMALE,0.000161498983503004
01,51,5-9,MALE,0.0002618065056307691
01,51,55-59,FEMALE,4.4817239490479736e-05
01,51,55-59,MALE,7.265336665602951e-05
01,51,60-64,FEMALE,0.00019867938788741183
01,51,60-64,MALE,0.00032207977508846625
01,51,75-79,FEMALE,2.0466652138498876e-05
01,51,75-79,MALE,3.3178553586631274e-05
01,53,20-24,FEMALE,9.285164065951959e-05
01,53,20-24,MALE,8.34489428712138e-05
01,53,25-29,FEMALE,0.0003483317964603074
01,53,25-29,MALE,0.0003130576904896433
01,53,35-39,FEMALE,0.00013787449717585681
01,53,35-39,MALE,0.0001239125227783017
01,53,45-49,FEMALE,5.0997455923583995e-05
01,53,45-49,MALE,4.583315658955017e-05
01,53,5-9,FEMALE,3.158359849805265e-05
01,53,5-9,MALE,2.8385259409642256e-05
01,53,55-59,FEMALE,0.00013863391335773229
01,53,55-59,MALE,0.00012459503605568345
01,54,20-24,FEMALE,0.0005050187334850722
01,54,20-24,MALE,0.0002885821334200413
02,01,20-24,FEMALE,0.00030347413189336486
02,01,20-24,MALE,6.254027718072718e-05
02,01,25-29,FEMALE,8.482087275499445e-05
02,01,25-29,MALE,1.747997715559006e-05
02,01,35-39,FEMALE,0.00029657375426644103
02,01,35-39,MALE,6.111823989950303e-05
02,01,5-9,FEMALE,0.0003061326408739397
02,01,5-9,MALE,6.30881455855078e-05
02,04,0-4,FEMALE,0.0005285997729420702
02,04,0-4,MALE,0.0006031848106336503
02,04,20-24,FEMALE,0.0021655745602220237
02,04,20-24,MALE,0.002471135531803802
02,04,25-29,FEMALE,0.0022150720908971303
02,04,25-29,MALE,0.0025276171275126404
02,04,35-39,FEMALE,0.001462722317729128
02,04,35-39,MALE,0.001669111356818062
02,04,45-49,FEMALE,0.0010772036646729544
02,04,45-49,MALE,0.0012291963064479737
02,04,5-9,FEMALE,0.0010799629652392193
