ORIGIN_FIPS,DESTINATION_FIPS,AGE_GROUP,MIGRATION_RATE
02,31,55_TO_59,7.767291933667327e-05
02,31,5_TO_17,0.00023362091314125172
02,31,65_TO_74,0.0002054653790836244
02,32,0_TO_4,0.0016377631794442524
02,32,18_TO_19,0.0015405717011887248
02,32,20_TO_24,0.0015368014910244253
02,32,25_TO_34,0.0024523113034034577
02,32,35_TO_44,0.001986552567237164
02,32,45_TO_54,0.0031487772413930112
02,32,55_TO_59,0.0013981125480601187
02,32,5_TO_17,0.0011153514562872663
02,32,60_TO_64,0.0022566718995290424
02,32,65_TO_74,0.0020774832774010914
02,32,75_AND_OVER,0.0024197598502488245
02,33,20_TO_24,0.001683942059313998
02,33,25_TO_34,4.379127327506175e-05
02,33,45_TO_54,0.0007449788426008701
02,33,60_TO_64,0.001398155416012559
02,34,0_TO_4,9.098684330245846e-05
02,34,25_TO_34,0.00021019811172029638
02,34,5_TO_17,6.782542639584727e-05
02,35,0_TO_4,0.0004185394791913089
02,35,20_TO_24,0.0007847496975443874
02,35,25_TO_34,0.0007882429189511115
02,35,35_TO_44,0.000294708347886832
02,35,45_TO_54,0.0008343763037129745
02,35,55_TO_59,0.00017476406850751484
02,35,5_TO_17,0.000444633350817221
02,35,60_TO_64,0.00031887755102040814
02,36,0_TO_4,0.002729605299073754
02,36,18_TO_19,0.006758637140698922
02,36,20_TO_24,0.004708498185266324
02,36,25_TO_34,0.00566659076179299
02,36,35_TO_44,0.005326580509954593
02,36,45_TO_54,0.004549337465482647
02,36,55_TO_59,0.0010291661812109208
02,36,5_TO_17,0.0045216950930564844
02,36,60_TO_64,0.0001226452119309262
02,36,65_TO_74,0.00018263589251877726
02,37,0_TO_4,0.0016741579167652357
02,37,18_TO_19,0.0015405717011887248
02,37,20_TO_24,0.0011117287381878821
02,37,25_TO_34,0.0023209374835782724
02,37,45_TO_54,0.00013906271728549575
02,37,5_TO_17,3.768079244213737e-05
02,38,0_TO_4,7.278947464196677e-05
02,38,18_TO_19,0.00024847930664334273
02,38,25_TO_34,3.50330186200494e-05
02,38,35_TO_44,9.823611596227734e-05
02,38,45_TO_54,4.9665256173391344e-05
02,38,5_TO_17,3.768079244213737e-05
02,39,0_TO_4,0.0004913289538332757
02,39,18_TO_19,0.001987834453146742
02,39,20_TO_24,0.0009482392178661348
02,39,25_TO_34,0.0008057594282611362
02,39,35_TO_44,0.0003165385958784492
02,39,45_TO_54,0.0009933051234678268
02,39,55_TO_59,0.0007573109635325644
02,39,5_TO_17,0.000459705667794076
02,39,75_AND_OVER,0.0005935260010044286
02,40,0_TO_4,0.00118282896293196
02,40,18_TO_19,0.0011430048105593765
02,40,20_TO_24,0.001177124546316581
02,40,25_TO_34,0.0012874634342868153
02,40,35_TO_44,0.0018446559552916522
02,40,45_TO_54,0.0003476567932137394
02,40,55_TO_59,0.0005242922055225446
02,40,5_TO_17,0.0003541994489560913
02,40,60_TO_64,0.0003679356357927787
02,41,0_TO_4,7.278947464196677e-05
02,41,18_TO_19,0.005019281994195523
02,41,20_TO_24,0.00279567079750188
02,41,25_TO_34,0.003634675681830125
02,41,35_TO_44,0.0012224938875305623
02,41,45_TO_54,0.0024335975524961756
02,41,55_TO_59,0.0003301099071808614
02,41,5_TO_17,0.00018840396221068688
02,41,60_TO_64,0.001103806907378336
02,41,65_TO_74,0.0009131794625938862
02,41,75_AND_OVER,0.003515500159795462
02,42,0_TO_4,0.00034575000454934216
02,42,18_TO_19,0.002832664095734107
02,42,20_TO_24,0.0015858483471209496
02,42,25_TO_34,0.0013838042354919512
02,42,35_TO_44,0.00032745371987425776
02,42,45_TO_54,0.0008741085086516877
02,42,55_TO_59,0.0004660375160200396
02,42,60_TO_64,0.00046605180533751964
02,45,0_TO_4,0.0019835131839935943
02,45,18_TO_19,0.008497992287202322
02,45,20_TO_24,0.0022561553804401136
02,45,25_TO_34,0.0013838042354919512
02,45,35_TO_44,0.0005130108278030038
02,45,55_TO_59,0.0006019651248592178
02,45,5_TO_17,0.00028637402256024403
02,46,18_TO_19,0.0006460461972726911
02,46,20_TO_24,0.0005068175129974169
02,46,25_TO_34,0.00012261556517017289
02,46,45_TO_54,9.933051234678269e-05
02,47,18_TO_19,0.00014908758398600564
02,47,20_TO_24,0.0010626818820913579
02,47,25_TO_34,0.0017516509310024698
02,47,35_TO_44,0.0002728780998952148
02,47,45_TO_54,0.0009933051234678268
02,47,55_TO_59,0.00036894636684919803
02,47,5_TO_17,0.001062598346868274
02,47,60_TO_64,0.0007849293563579278
02,47,65_TO_74,0.00013697691938908293
02,48,0_TO_4,0.0052590395428821
02,48,18_TO_19,0.0034290144316781296
02,48,20_TO_24,0.006016414347840304
02,48,25_TO_34,0.0071467357984900766
02,48,35_TO_44,0.007455029689137268
02,48,45_TO_54,0.002761388243240559
02,48,55_TO_59,0.00184473183424599
02,48,5_TO_17,0.0035495306480493407
02,48,60_TO_64,0.0027472527472527475
02,48,65_TO_74,0.0007533730566399562
02,48,75_AND_OVER,0.0034698443135643517
02,49,0_TO_4,0.0037486579440612886
02,49,18_TO_19,0.0027829682344054384
02,49,20_TO_24,0.0036948631592714906
02,49,25_TO_34,0.002233354937028149
02,49,35_TO_44,0.0010587670275934336
02,49,45_TO_54,0.00041718815185648727
02,49,55_TO_59,0.00027185521767835645
02,49,5_TO_17,0.0014695509052433575
02,49,60_TO_64,0.00046605180533751964
02,49,65_TO_74,0.00013697691938908293
02,51,0_TO_4,0.0011646315942714684
02,51,18_TO_19,0.006957420586013596
02,51,20_TO_24,0.0012915672105418042
02,51,25_TO_34,0.0032493124770095814
02,51,35_TO_44,0.0009059552916521132
02,51,45_TO_54,0.0015098237876710967
02,51,55_TO_59,0.0002330187580100198
02,51,5_TO_17,0.0008591220676807321
02,51,60_TO_64,0.0007358712715855573
02,51,65_TO_74,0.00018263589251877726
02,51,75_AND_OVER,0.0015522987718577363
02,53,0_TO_4,0.0020926973959565446
02,53,18_TO_19,0.01098278535363575
02,53,20_TO_24,0.008861132001438708
02,53,25_TO_34,0.00655993273660425
02,53,35_TO_44,0.0024559028990569333
02,53,45_TO_54,0.0031289111389236545
