ORIGIN_FIPS,DESTINATION_FIPS,SEX,MIGRATION_PROPORTION
04,29,FEMALE,0.407957244655582
04,29,MALE,0.5920427553444181
04,30,FEMALE,0.46418338108882523
04,30,MALE,0.5358166189111748
04,31,FEMALE,0.4861386138613861
04,31,MALE,0.5138613861386139
04,32,FEMALE,0.5374442564970013
04,32,MALE,0.4625557435029986
04,33,FEMALE,0.4520547945205479
04,33,MALE,0.547945205479452
04,34,FEMALE,0.4716117216117216
04,34,MALE,0.5283882783882784
04,35,FEMALE,0.46657929226736566
04,35,MALE,0.5334207077326344
04,36,FEMALE,0.4783205268935236
04,36,MALE,0.5216794731064764
04,37,FEMALE,0.4820732657833203
04,37,MALE,0.5179267342166797
04,38,FEMALE,0.4678030303030303
04,38,MALE,0.5321969696969697
04,39,FEMALE,0.4542635658914729
04,39,MALE,0.5457364341085271
04,40,FEMALE,0.504
04,40,MALE,0.496
04,41,FEMALE,0.4870950027457441
04,41,MALE,0.5129049972542559
04,42,FEMALE,0.5051903114186851
04,42,MALE,0.49480968858131485
04,44,FEMALE,0.35555555555555557
04,44,MALE,0.6444444444444445
04,45,FEMALE,0.45006485084306097
04,45,MALE,0.5499351491569391
04,46,FEMALE,0.39068825910931176
04,46,MALE,0.6093117408906883
04,47,FEMALE,0.5091225021720244
04,47,MALE,0.4908774978279757
04,48,FEMALE,0.4516829533116178
04,48,MALE,0.5483170466883822
04,49,FEMALE,0.53125
04,49,MALE,0.46875
04,50,FEMALE,0.7402597402597403
04,50,MALE,0.2597402597402597
04,51,FEMALE,0.40611961057023643
04,51,MALE,0.5938803894297635
04,53,FEMALE,0.47434934934934936
04,53,MALE,0.5256506506506506
04,55,FEMALE,0.41545893719806765
04,55,MALE,0.5845410628019324
04,56,FEMALE,0.45634920634920634
04,56,MALE,0.5436507936507936
05,01,FEMALE,0.5966386554621849
05,01,MALE,0.40336134453781514
05,02,FEMALE,1.0
05,04,FEMALE,0.36082474226804123
05,04,MALE,0.6391752577319587
05,06,FEMALE,0.4440677966101695
05,06,MALE,0.5559322033898305
05,08,FEMALE,0.3869565217391304
05,08,MALE,0.6130434782608696
05,11,FEMALE,0.5423728813559322
05,11,MALE,0.4576271186440678
05,12,FEMALE,0.43870967741935485
05,12,MALE,0.5612903225806452
05,13,FEMALE,0.31085043988269795
05,13,MALE,0.6891495601173021
05,17,FEMALE,0.4421768707482993
05,17,MALE,0.5578231292517006
05,19,FEMALE,0.4416058394160584
05,19,MALE,0.5583941605839416
05,20,FEMALE,0.5507246376811594
05,20,MALE,0.4492753623188406
05,21,FEMALE,0.8103448275862069
05,21,MALE,0.1896551724137931
05,22,FEMALE,0.39080459770114945
05,22,MALE,0.6091954022988506
05,26,FEMALE,0.6648936170212766
05,26,MALE,0.3351063829787234
05,27,FEMALE,0.25274725274725274
05,27,MALE,0.7472527472527473
05,28,FEMALE,0.6082089552238806
05,28,MALE,0.3917910447761194
05,29,FEMALE,0.5648769574944071
05,29,MALE,0.43512304250559286
05,31,FEMALE,0.14814814814814814
05,31,MALE,0.8518518518518519
05,32,FEMALE,0.6695652173913044
05,32,MALE,0.33043478260869563
05,35,FEMALE,1.0
05,36,FEMALE,1.0
05,37,FEMALE,0.19540229885057472
05,37,MALE,0.8045977011494253
05,39,FEMALE,0.5434782608695652
05,39,MALE,0.45652173913043476
05,40,FEMALE,0.5073689956331878
05,40,MALE,0.49263100436681223
05,42,FEMALE,0.5254237288135594
05,42,MALE,0.4745762711864407
05,45,FEMALE,0.12380952380952381
05,45,MALE,0.8761904761904762
05,47,FEMALE,0.4947988904299584
05,47,MALE,0.5052011095700416
05,48,FEMALE,0.51250411319513
05,48,MALE,0.48749588680487005
05,51,FEMALE,0.2978723404255319
05,51,MALE,0.7021276595744681
05,53,FEMALE,0.45592705167173253
05,53,MALE,0.5440729483282675
05,55,FEMALE,0.2
05,55,MALE,0.8
05,56,FEMALE,0.3888888888888889
05,56,MALE,0.6111111111111112
06,01,FEMALE,0.47226277372262776
06,01,MALE,0.5277372262773723
06,02,FEMALE,0.4819905213270142
06,02,MALE,0.5180094786729857
06,04,FEMALE,0.4983816675297773
06,04,MALE,0.5016183324702227
06,05,FEMALE,0.4657534246575342
06,05,MALE,0.5342465753424658
06,08,FEMALE,0.4826500106769165
06,08,MALE,0.5173499893230835
06,09,FEMALE,0.42289535798583794
06,09,MALE,0.5771046420141621
06,10,FEMALE,0.5532994923857868
06,10,MALE,0.4467005076142132
06,11,FEMALE,0.5019700551615445
06,11,MALE,0.4980299448384555
06,12,FEMALE,0.45911488862837047
06,12,MALE,0.5408851113716295
06,13,FEMALE,0.45834490419327967
06,13,MALE,0.5416550958067203
06,15,FEMALE,0.456318407960199
06,15,MALE,0.543681592039801
06,16,FEMALE,0.4989657210401891
06,16,MALE,0.5010342789598109
06,17,FEMALE,0.4563992700150758
06,17,MALE,0.5436007299849243
06,18,FEMALE,0.4910442717134167
06,18,MALE,0.5089557282865833
