GEOID,AGE_GROUP,SEX,2029,2034,2039,2044,2049,2054,2059,2064,2069,2074,2079,2084,2089,2094
02,20-24,MALE,22760.0,21873.0,19940.0,17532.0,16422.0,14825.0,13814.0,13189.0,12625.0,12011.0,11407.0,10960.0,10640.0,10390.0
02,25-29,MALE,26530.0,21583.0,20791.0,19219.0,17165.0,16383.0,15174.0,14406.0,13921.0,13434.0,12886.0,12362.0,12005.0,11768.0
02,30-34,MALE,26984.0,24048.0,20298.0,19584.0,18288.0,16525.0,15970.0,15033.0,14431.0,14042.0,13616.0,13126.0,12668.0,12376.0
02,35-39,MALE,28457.0,24513.0,22237.0,19439.0,18793.0,17718.0,16193.0,15818.0,15100.0,14633.0,14324.0,13948.0,13506.0,13101.0
02,40-44,MALE,27119.0,25192.0,21868.0,19977.0,17666.0,17101.0,16180.0,14854.0,14568.0,13975.0,13588.0,13329.0,13001.0,12611.0
02,45-49,MALE,24975.0,23996.0,22503.0,19690.0,18118.0,16212.0,15715.0,14923.0,13762.0,13550.0,13061.0,12741.0,12525.0,12236.0
02,5-9,MALE,21964.0,20100.0,17556.0,15964.0,15000.0,14207.0,13367.0,12515.0,11833.0,11320.0,10927.0,10589.0,10260.0,9941.0
02,50-54,MALE,20607.0,22229.0,21466.0,20267.0,17836.0,16496.0,14884.0,14446.0,13759.0,12737.0,12577.0,12165.0,11896.0,11715.0
02,55-59,MALE,19855.0,18160.0,19672.0,19103.0,18172.0,16095.0,14972.0,13629.0,13249.0,12662.0,11771.0,11660.0,11321.0,11101.0
02,60-64,MALE,19722.0,18041.0,16584.0,18042.0,17609.0,16862.0,15016.0,14040.0,12871.0,12538.0,12019.0,11210.0,11135.0,10846.0
02,65-69,MALE,20543.0,17522.0,16130.0,14901.0,16284.0,15974.0,15390.0,13775.0,12937.0,11932.0,11648.0,11201.0,10484.0,10445.0
02,70-74,MALE,17874.0,18181.0,15601.0,14454.0,13425.0,14742.0,14533.0,14080.0,12664.0,11948.0,11079.0,10845.0,10462.0,9824.0
02,75-79,MALE,13909.0,15345.0,15715.0,13588.0,12693.0,11871.0,13114.0,13008.0,12687.0,11481.0,10892.0,10163.0,9984.0,9670.0
02,80-84,MALE,7323.0,9949.0,11106.0,11501.0,10075.0,9537.0,9014.0,10056.0,10079.0,9939.0,9081.0,8691.0,8201.0,8105.0
02,85+,MALE,4333.0,6217.0,8670.0,10401.0,11366.0,10741.0,10347.0,10072.0,11097.0,11739.0,12061.0,11621.0,11310.0,11047.0
04,0-4,FEMALE,197057.0,196375.0,194010.0,189124.0,181176.0,173455.0,168273.0,166445.0,165872.0,164597.0,161820.0,158023.0,154413.0,151997.0
04,10-14,FEMALE,216741.0,199334.0,199950.0,199670.0,197726.0,193358.0,185867.0,178426.0,173402.0,171726.0,171335.0,170261.0,167675.0,164025.0
04,15-19,FEMALE,228516.0,217976.0,200843.0,201642.0,201484.0,199693.0,195524.0,188212.0,180877.0,175913.0,174295.0,173975.0,172981.0,170471.0
04,20-24,FEMALE,250395.0,231588.0,221325.0,204437.0,205574.0,205635.0,204123.0,200327.0,193344.0,186199.0,181347.0,179848.0,179675.0,178841.0
04,25-29,FEMALE,256605.0,255994.0,238095.0,228136.0,211623.0,213115.0,213431.0,212254.0,208880.0,202252.0,195298.0,190547.0,189167.0,189148.0
04,30-34,FEMALE,256867.0,259523.0,260039.0,243007.0,233441.0,217333.0,219031.0,219510.0,218579.0,215525.0,209186.0,202407.0,197745.0,196435.0
04,35-39,FEMALE,265240.0,259805.0,262813.0,264330.0,248156.0,238952.0,223286.0,225193.0,225845.0,225162.0,222419.0,216367.0,209771.0,205208.0
04,40-44,FEMALE,246604.0,267270.0,261869.0,265124.0,267361.0,251781.0,242910.0,227683.0,229777.0,230582.0,230088.0,227580.0,221759.0,215330.0
04,45-49,FEMALE,238382.0,247738.0,268595.0,263048.0,266501.0,269381.0,254375.0,245841.0,231046.0,233331.0,234296.0,233996.0,231725.0,226136.0
04,5-9,FEMALE,198063.0,198423.0,198018.0,195905.0,191337.0,183667.0,176121.0,171039.0,169305.0,168841.0,167685.0,165020.0,161309.0,157752.0
04,50-54,FEMALE,215817.0,236676.0,246172.0,266872.0,261208.0,264869.0,268212.0,253708.0,245473.0,231053.0,233497.0,234617.0,234497.0,232435.0
04,55-59,FEMALE,220233.0,212293.0,233339.0,242735.0,263218.0,257578.0,261444.0,265229.0,251274.0,243388.0,229408.0,232028.0,233329.0,233418.0
04,60-64,FEMALE,217972.0,217104.0,209499.0,230835.0,240260.0,260740.0,255082.0,259212.0,263525.0,250103.0,242594.0,229048.0,231912.0,233450.0
04,65-69,FEMALE,235984.0,215231.0,214750.0,207549.0,229444.0,239129.0,259850.0,254215.0,258719.0,263707.0,250837.0,243745.0,230621.0,233841.0
04,70-74,FEMALE,230674.0,232275.0,212232.0,212134.0,205429.0,228025.0,237997.0,259004.0,253394.0,258331.0,264045.0,251727.0,245082.0,232324.0
04,75-79,FEMALE,199317.0,220494.0,223199.0,204604.0,205238.0,199459.0,222503.0,232852.0,254046.0,248849.0,254364.0,260885.0,249456.0,243527.0
04,80-84,FEMALE,148943.0,177665.0,198057.0,202012.0,186317.0,188079.0,183900.0,206585.0,217181.0,237910.0,233657.0,239740.0,247082.0,237320.0
