"Notes","Age of Mother 9","Age of Mother 9 Code","State of Residence","State of Residence Code",Births,Female Population,Fertility Rate
,"25-29 years","25-29","Pennsylvania","42",176666,1990016,88.78
,"25-29 years","25-29","Rhode Island","44",12732,177988,71.53
,"25-29 years","25-29","South Carolina","45",84863,837680,101.31
,"25-29 years","25-29","South Dakota","46",18370,135400,135.67
,"25-29 years","25-29","Tennessee","47",123388,1215893,101.48
,"25-29 years","25-29","Texas","48",549598,5277098,104.15
,"25-29 years","25-29","Utah","49",80814,629392,128.40
,"25-29 years","25-29","Vermont","50",6571,91789,71.59
,"25-29 years","25-29","Virginia","51",125794,1419604,88.61
,"25-29 years","25-29","Washington","53",110497,1361300,81.17
,"25-29 years","25-29","West Virginia","54",27028,253463,106.63
,"25-29 years","25-29","Wisconsin","55",90182,902275,99.95
,"25-29 years","25-29","Wyoming","56",9493,85601,110.90
"Total","25-29 years","25-29",,,5039192,55121560,91.42
,"30-34 years","30-34","Alabama","01",72784,851130,85.51
,"30-34 years","30-34","Alaska","02",13077,138857,94.18
,"30-34 years","30-34","Arizona","04",110633,1237126,89.43
,"30-34 years","30-34","Arkansas","05",41128,504042,81.60
,"30-34 years","30-34","California","06",665087,7280414,91.35
,"30-34 years","30-34","Colorado","08",101782,1127875,90.24
,"30-34 years","30-34","Connecticut","09",63677,570010,111.71
,"30-34 years","30-34","Delaware","10",16276,170393,95.52
,"30-34 years","30-34","District of Columbia","11",13095,199947,65.49
,"30-34 years","30-34","Florida","12",334443,3631259,92.10
,"30-34 years","30-34","Georgia","13",175296,1958785,89.49
,"30-34 years","30-34","Hawaii","15",22460,239029,93.96
,"30-34 years","30-34","Idaho","16",29967,311801,96.11
,"30-34 years","30-34","Illinois","17",210260,2146233,97.97
,"30-34 years","30-34","Indiana","18",108416,1120243,96.78
,"30-34 years","30-34","Iowa","19",54721,486349,112.51
,"30-34 years","30-34","Kansas","20",48640,458521,106.08
,"30-34 years","30-34","Kentucky","21",65543,738909,88.70
,"30-34 years","30-34","Louisiana","22",70256,804190,87.36
,"30-34 years","30-34","Maine","23",19222,217520,88.37
,"30-34 years","30-34","Maryland","24",112418,1072589,104.81
,"30-34 years","30-34","Massachusetts","25",129231,1234573,104.68
,"30-34 years","30-34","Michigan","26",162378,1643511,98.80
,"30-34 years","30-34","Minnesota","27",111275,931479,119.46
,"30-34 years","30-34","Mississippi","28",39261,486742,80.66
,"30-34 years","30-34","Missouri","29",97199,1033681,94.03
,"30-34 years","30-34","Montana","30",16708,178554,93.57
,"30-34 years","30-34","Nebraska","31",37403,307298,121.72
,"30-34 years","30-34","Nevada","32",47467,584385,81.23
,"30-34 years","30-34","New Hampshire","33",22904,221790,103.27
,"30-34 years","30-34","New Jersey","34",180536,1513850,119.26
,"30-34 years","30-34","New Mexico","35",26770,344629,77.68
,"30-34 years","30-34","New York","36",339040,3528804,96.08
,"30-34 years","30-34","North Carolina","37",177477,1859536,95.44
,"30-34 years","30-34","North Dakota","38",15309,129189,118.50
,"30-34 years","30-34","Ohio","39",189105,1967053,96.14
,"30-34 years","30-34","Oklahoma","40",58885,680510,86.53
,"30-34 years","30-34","Oregon","41",61302,761281,80.52
,"30-34 years","30-34","Pennsylvania","42",214436,2149662,99.75
,"30-34 years","30-34","Rhode Island","44",17795,192259,92.56
,"30-34 years","30-34","South Carolina","45",81133,903588,89.79
,"30-34 years","30-34","South Dakota","46",16579,138487,119.72
,"30-34 years","30-34","Tennessee","47",109813,1237657,88.73
,"30-34 years","30-34","Texas","48",526752,5457565,96.52
,"30-34 years","30-34","Utah","49",63502,587852,108.02
,"30-34 years","30-34","Vermont","50",8844,97007,91.17
,"30-34 years","30-34","Virginia","51",150563,1492853,100.86
,"30-34 years","30-34","Washington","53",134921,1490057,90.55
,"30-34 years","30-34","West Virginia","54",19847,263156,75.42
,"30-34 years","30-34","Wisconsin","55",100555,902132,111.46
,"30-34 years","30-34","Wyoming","56",8116,91568,88.63
"Total","30-34 years","30-34",,,5514287,57675930,95.61
,"35-39 years","35-39","Alabama","01",31532,805448,39.15
,"35-39 years","35-39","Alaska","02",6993,131448,53.20
,"35-39 years","35-39","Arizona","04",54786,1158928,47.27
,"35-39 years","35-39","Arkansas","05",17614,482624,36.50
,"35-39 years","35-39","California","06",431968,6827696,63.27
,"35-39 years","35-39","Colorado","08",58118,1061403,54.76
,"35-39 years","35-39","Connecticut","09",38586,583943,66.08
,"35-39 years","35-39","Delaware","10",8746,160895,54.36
,"35-39 years","35-39","District of Columbia","11",11246,164065,68.55
,"35-39 years","35-39","Florida","12",189615,3544579,53.49
,"35-39 years","35-39","Georgia","13",90207,1877059,48.06
,"35-39 years","35-39","Hawaii","15",14764,239917,61.54
,"35-39 years","35-39","Idaho","16",14196,310923,45.66
