year,age,sex,immigration_status,migration_flow,number_of_people
2021,24,female,INA Nonimmigrant,immigration,2359.0
2021,24,female,LPR+,emigration,654.0
2021,24,female,LPR+,immigration,4088.0
2021,24,female,OFN,emigration,1975.0
2021,24,female,OFN,immigration,12499.0
2021,24,male,INA Nonimmigrant,emigration,2035.0
2021,24,male,INA Nonimmigrant,immigration,3134.0
2021,24,male,LPR+,emigration,332.0
2021,24,male,LPR+,immigration,7537.0
2021,24,male,OFN,emigration,2475.0
2021,24,male,OFN,immigration,15110.0
2021,25,female,INA Nonimmigrant,emigration,893.0
2021,25,female,INA Nonimmigrant,immigration,2362.0
2021,25,female,LPR+,emigration,592.0
2021,25,female,LPR+,immigration,4692.0
2021,25,female,OFN,emigration,2345.0
2021,25,female,OFN,immigration,12941.0
2021,25,male,INA Nonimmigrant,emigration,1303.0
2021,25,male,INA Nonimmigrant,immigration,3229.0
2021,25,male,LPR+,emigration,401.0
2021,25,male,LPR+,immigration,8292.0
2021,25,male,OFN,emigration,3106.0
2021,25,male,OFN,immigration,15769.0
2021,26,female,INA Nonimmigrant,emigration,981.0
2021,26,female,INA Nonimmigrant,immigration,2336.0
2021,26,female,LPR+,emigration,651.0
2021,26,female,LPR+,immigration,5306.0
2021,26,female,OFN,emigration,2643.0
2021,26,female,OFN,immigration,13302.0
2021,26,male,INA Nonimmigrant,emigration,1262.0
2021,26,male,INA Nonimmigrant,immigration,3290.0
2021,26,male,LPR+,emigration,388.0
2021,26,male,LPR+,immigration,9053.0
2021,26,male,OFN,emigration,3534.0
2021,26,male,OFN,immigration,16237.0
2021,27,female,INA Nonimmigrant,emigration,1020.0
2021,27,female,INA Nonimmigrant,immigration,2292.0
2021,27,female,LPR+,emigration,677.0
2021,27,female,LPR+,immigration,5895.0
2021,27,female,OFN,emigration,2746.0
2021,27,female,OFN,immigration,13579.0
2021,27,male,INA Nonimmigrant,emigration,1391.0
2021,27,male,INA Nonimmigrant,immigration,3326.0
2021,27,male,LPR+,emigration,428.0
2021,27,male,LPR+,immigration,9789.0
2021,27,male,OFN,emigration,3897.0
2021,27,male,OFN,immigration,16508.0
2021,28,female,INA Nonimmigrant,emigration,1181.0
2021,28,female,INA Nonimmigrant,immigration,2237.0
2021,28,female,LPR+,emigration,784.0
2021,28,female,LPR+,immigration,6435.0
2021,28,female,OFN,emigration,3181.0
2021,28,female,OFN,immigration,13802.0
2021,28,male,INA Nonimmigrant,emigration,1501.0
