year,age,place_of_birth,births_per_1000_females
2027,42,native-born,11.11
2027,43,all,7.0
2027,43,foreign-born,8.07
2027,43,native-born,6.76
2027,44,all,4.11
2027,44,foreign-born,4.73
2027,44,native-born,3.97
2027,45,all,2.36
2027,45,foreign-born,2.71
2027,45,native-born,2.28
2027,46,all,1.26
2027,46,foreign-born,1.46
2027,46,native-born,1.22
2027,47,all,0.76
2027,47,foreign-born,0.87
2027,47,native-born,0.73
2027,48,all,0.46
2027,48,foreign-born,0.53
2027,48,native-born,0.44
2027,49,all,1.01
2027,49,foreign-born,1.16
2027,49,native-born,0.97
2028,14,all,0.68
2028,14,foreign-born,0.78
2028,14,native-born,0.66
2028,15,all,1.7
2028,15,foreign-born,1.95
2028,15,native-born,1.64
2028,16,all,4.07
2028,16,foreign-born,4.67
2028,16,native-born,3.94
2028,17,all,7.94
2028,17,foreign-born,9.11
2028,17,native-born,7.68
2028,18,all,15.13
2028,18,foreign-born,17.37
2028,18,native-born,14.64
2028,19,all,27.01
2028,19,foreign-born,31.0
2028,19,native-born,26.14
2028,20,all,36.75
2028,20,foreign-born,42.18
2028,20,native-born,35.56
2028,21,all,45.05
2028,21,foreign-born,51.7
2028,21,native-born,43.59
2028,22,all,52.32
2028,22,foreign-born,60.05
2028,22,native-born,50.63
2028,23,all,59.2
2028,23,foreign-born,67.94
2028,23,native-born,57.28
2028,24,all,66.13
2028,24,foreign-born,75.89
2028,24,native-born,63.99
2028,25,all,73.6
2028,25,foreign-born,84.47
2028,25,native-born,71.22
2028,26,all,79.66
2028,26,foreign-born,91.42
2028,26,native-born,77.09
2028,27,all,87.06
2028,27,foreign-born,99.91
2028,27,native-born,84.25
2028,28,all,93.49
2028,28,foreign-born,107.29
2028,28,native-born,90.46
2028,29,all,99.19
2028,29,foreign-born,113.84
2028,29,native-born,95.99
2028,30,all,101.7
2028,30,foreign-born,116.71
2028,30,native-born,98.41
2028,31,all,102.06
2028,31,foreign-born,117.13
2028,31,native-born,98.76
2028,32,all,98.42
2028,32,foreign-born,112.96
2028,32,native-born,95.24
2028,33,all,93.51
2028,33,foreign-born,107.31
2028,33,native-born,90.48
2028,34,all,87.43
2028,34,foreign-born,100.34
2028,34,native-born,84.6
2028,35,all,79.65
2028,35,foreign-born,91.41
2028,35,native-born,77.07
2028,36,all,68.38
2028,36,foreign-born,78.47
2028,36,native-born,66.17
2028,37,all,55.79
2028,37,foreign-born,64.03
2028,37,native-born,53.98
2028,38,all,44.46
2028,38,foreign-born,51.02
2028,38,native-born,43.02
2028,39,all,34.85
2028,39,foreign-born,39.99
2028,39,native-born,33.72
2028,40,all,25.72
2028,40,foreign-born,29.52
2028,40,native-born,24.89
2028,41,all,17.87
2028,41,foreign-born,20.5
2028,41,native-born,17.29
2028,42,all,11.7
2028,42,foreign-born,13.43
2028,42,native-born,11.32
2028,43,all,7.13
2028,43,foreign-born,8.18
2028,43,native-born,6.9
2028,44,all,4.2
2028,44,foreign-born,4.82
2028,44,native-born,4.06
2028,45,all,2.42
2028,45,foreign-born,2.77
2028,45,native-born,2.34
2028,46,all,1.32
2028,46,foreign-born,1.51
2028,46,native-born,1.28
2028,47,all,0.78
2028,47,foreign-born,0.9
2028,47,native-born,0.76
2028,48,all,0.46
2028,48,foreign-born,0.53
2028,48,native-born,0.45
2028,49,all,1.02
2028,49,foreign-born,1.17
2028,49,native-born,0.99
2029,14,all,0.64
2029,14,foreign-born,0.74
2029,14,native-born,0.62
2029,15,all,1.62
2029,15,foreign-born,1.85
2029,15,native-born,1.57
2029,16,all,3.9
2029,16,foreign-born,4.46
2029,16,native-born,3.78
2029,17,all,7.61
2029,17,foreign-born,8.71
2029,17,native-born,7.38
2029,18,all,14.53
2029,18,foreign-born,16.62
2029,18,native-born,14.08
2029,19,all,26.15
2029,19,foreign-born,29.91
2029,19,native-born,25.34
2029,20,all,35.83
2029,20,foreign-born,40.98
2029,20,native-born,34.72
2029,21,all,44.16
2029,21,foreign-born,50.51
2029,21,native-born,42.8
2029,22,all,51.23
2029,22,foreign-born,58.59
2029,22,native-born,49.65
2029,23,all,57.91
2029,23,foreign-born,66.24
2029,23,native-born,56.12
2029,24,all,64.85
2029,24,foreign-born,74.17
2029,24,native-born,62.85
2029,25,all,72.26
2029,25,foreign-born,82.65
2029,25,native-born,70.03
2029,26,all,78.37
2029,26,foreign-born,89.64
2029,26,native-born,75.95
2029,27,all,86.18
2029,27,foreign-born,98.57
2029,27,native-born,83.52
2029,28,all,93.17
2029,28,foreign-born,106.57
2029,28,native-born,90.3
2029,29,all,99.7
2029,29,foreign-born,114.04
2029,29,native-born,96.63
2029,30,all,102.51
2029,30,foreign-born,117.24
2029,30,native-born,99.35
2029,31,all,103.02
2029,31,foreign-born,117.83
2029,31,native-born,99.85
2029,32,all,99.34
2029,32,foreign-born,113.62
2029,32,native-born,96.28
2029,33,all,94.26
2029,33,foreign-born,107.81
2029,33,native-born,91.35
2029,34,all,88.19
2029,34,foreign-born,100.88
2029,34,native-born,85.48
2029,35,all,80.39
2029,35,foreign-born,91.95
2029,35,native-born,77.91
2029,36,all,69.17
2029,36,foreign-born,79.11
2029,36,native-born,67.04
2029,37,all,56.41
2029,37,foreign-born,64.52
2029,37,native-born,54.67
2029,38,all,44.95
2029,38,foreign-born,51.42
2029,38,native-born,43.57
2029,39,all,35.22
2029,39,foreign-born,40.28
2029,39,native-born,34.13
2029,40,all,26.07
2029,40,foreign-born,29.82
2029,40,native-born,25.27
2029,41,all,18.15
2029,41,foreign-born,20.76
2029,41,native-born,17.59
2029,42,all,11.89
2029,42,foreign-born,13.6
2029,42,native-born,11.53
2029,43,all,7.26
2029,43,foreign-born,8.3
2029,43,native-born,7.03
2029,44,all,4.28
2029,44,foreign-born,4.9
2029,44,native-born,4.15
2029,45,all,2.48
2029,45,foreign-born,2.83
2029,45,native-born,2.4
2029,46,all,1.37
2029,46,foreign-born,1.57
2029,46,native-born,1.33
2029,47,all,0.81
2029,47,foreign-born,0.92
2029,47,native-born,0.78
2029,48,all,0.47
2029,48,foreign-born,0.54
2029,48,native-born,0.46
2029,49,all,1.03
2029,49,foreign-born,1.18
2029,49,native-born,1.0
2030,14,all,0.61
2030,14,foreign-born,0.7
2030,14,native-born,0.59
2030,15,all,1.54
2030,15,foreign-born,1.76
2030,15,native-born,1.49
2030,16,all,3.74
2030,16,foreign-born,4.26
2030,16,native-born,3.63
2030,17,all,7.3
2030,17,foreign-born,8.33
2030,17,native-born,7.09
2030,18,all,13.95
2030,18,foreign-born,15.91
2030,18,native-born,13.54
2030,19,all,25.32
2030,19,foreign-born,28.87
2030,19,native-born,24.57
2030,20,all,34.95
2030,20,foreign-born,39.85
2030,20,native-born,33.92
2030,21,all,43.31
2030,21,foreign-born,49.38
2030,21,native-born,42.03
2030,22,all,50.18
2030,22,foreign-born,57.22
2030,22,native-born,48.7
2030,23,all,56.68
2030,23,foreign-born,64.63
2030,23,native-born,55.01
2030,24,all,63.63
2030,24,foreign-born,72.55
2030,24,native-born,61.75
2030,25,all,70.99
2030,25,foreign-born,80.94
2030,25,native-born,68.89
2030,26,all,77.14
2030,26,foreign-born,87.95
2030,26,native-born,74.86
2030,27,all,85.34
2030,27,foreign-born,97.31
2030,27,native-born,82.82
2030,28,all,92.89
2030,28,foreign-born,105.91
2030,28,native-born,90.15
2030,29,all,100.21
2030,29,foreign-born,114.26
2030,29,native-born,97.25
2030,30,all,103.3
2030,30,foreign-born,117.78
2030,30,native-born,100.25
2030,31,all,103.96
2030,31,foreign-born,118.54
2030,31,native-born,100.89
2030,32,all,100.24
2030,32,foreign-born,114.29
2030,32,native-born,97.27
2030,33,all,94.99
2030,33,foreign-born,108.31
2030,33,native-born,92.19
2030,34,all,88.94
2030,34,foreign-born,101.41
2030,34,native-born,86.31
2030,35,all,81.12
2030,35,foreign-born,92.49
2030,35,native-born,78.72
2030,36,all,69.94
2030,36,foreign-born,79.75
2030,36,native-born,67.88
2030,37,all,57.01
2030,37,foreign-born,65.01
2030,37,native-born,55.33
2030,38,all,45.43
2030,38,foreign-born,51.8
2030,38,native-born,44.09
2030,39,all,35.58
2030,39,foreign-born,40.57
2030,39,native-born,34.53
2030,40,all,26.41
2030,40,foreign-born,30.12
2030,40,native-born,25.63
2030,41,all,18.42
2030,41,foreign-born,21.0
2030,41,native-born,17.87
2030,42,all,12.08
2030,42,foreign-born,13.77
2030,42,native-born,11.72
2030,43,all,7.38
2030,43,foreign-born,8.41
2030,43,native-born,7.16
2030,44,all,4.37
2030,44,foreign-born,4.98
2030,44,native-born,4.24
2030,45,all,2.54
2030,45,foreign-born,2.89
2030,45,native-born,2.46
2030,46,all,1.42
2030,46,foreign-born,1.62
2030,46,native-born,1.38
2030,47,all,0.83
2030,47,foreign-born,0.95
2030,47,native-born,0.8
2030,48,all,0.48
2030,48,foreign-born,0.55
2030,48,native-born,0.46
2030,49,all,1.04
2030,49,foreign-born,1.19
2030,49,native-born,1.01
2031,14,all,0.58
2031,14,foreign-born,0.66
2031,14,native-born,0.56
2031,15,all,1.47
2031,15,foreign-born,1.67
2031,15,native-born,1.42
2031,16,all,3.58
2031,16,foreign-born,4.07
2031,16,native-born,3.48
2031,17,all,7.0
2031,17,foreign-born,7.96
2031,17,native-born,6.81
2031,18,all,13.39
2031,18,foreign-born,15.23
2031,18,native-born,13.02
2031,19,all,24.53
2031,19,foreign-born,27.9
2031,19,native-born,23.84
2031,20,all,34.11
2031,20,foreign-born,38.79
2031,20,native-born,33.14
2031,21,all,42.49
2031,21,foreign-born,48.32
2031,21,native-born,41.29
2031,22,all,49.18
2031,22,foreign-born,55.93
2031,22,native-born,47.79
2031,23,all,55.51
2031,23,foreign-born,63.13
2031,23,native-born,53.94
2031,24,all,62.45
2031,24,foreign-born,71.03
2031,24,native-born,60.69
2031,25,all,69.77
2031,25,foreign-born,79.34
2031,25,native-born,67.79
2031,26,all,75.96
2031,26,foreign-born,86.38
2031,26,native-born,73.81
2031,27,all,84.54
2031,27,foreign-born,96.14
2031,27,native-born,82.15
2031,28,all,92.61
2031,28,foreign-born,105.32
2031,28,native-born,90.0
2031,29,all,100.69
2031,29,foreign-born,114.51
2031,29,native-born,97.85
2031,30,all,104.05
2031,30,foreign-born,118.33
2031,30,native-born,101.11
2031,31,all,104.86
2031,31,foreign-born,119.25
2031,31,native-born,101.89
2031,32,all,101.09
2031,32,foreign-born,114.96
2031,32,native-born,98.23
2031,33,all,95.7
2031,33,foreign-born,108.83
2031,33,native-born,92.99
2031,34,all,89.65
2031,34,foreign-born,101.96
2031,34,native-born,87.12
2031,35,all,81.81
2031,35,foreign-born,93.04
2031,35,native-born,79.5
2031,36,all,70.68
2031,36,foreign-born,80.38
2031,36,native-born,68.68
2031,37,all,57.59
2031,37,foreign-born,65.5
2031,37,native-born,55.96
2031,38,all,45.89
2031,38,foreign-born,52.19
2031,38,native-born,44.6
2031,39,all,35.92
2031,39,foreign-born,40.85
2031,39,native-born,34.91
2031,40,all,26.74
2031,40,foreign-born,30.41
2031,40,native-born,25.98
2031,41,all,18.68
2031,41,foreign-born,21.24
2031,41,native-born,18.15
2031,42,all,12.26
2031,42,foreign-born,13.94
2031,42,native-born,11.91
2031,43,all,7.49
2031,43,foreign-born,8.52
2031,43,native-born,7.28
2031,44,all,4.44
2031,44,foreign-born,5.05
2031,44,native-born,4.32
2031,45,all,2.59
2031,45,foreign-born,2.95
2031,45,native-born,2.52
2031,46,all,1.47
2031,46,foreign-born,1.67
2031,46,native-born,1.43
2031,47,all,0.85
2031,47,foreign-born,0.97
2031,47,native-born,0.83
2031,48,all,0.49
2031,48,foreign-born,0.55
2031,48,native-born,0.47
2031,49,all,1.05
2031,49,foreign-born,1.2
2031,49,native-born,1.02
2032,14,all,0.55
2032,14,foreign-born,0.62
2032,14,native-born,0.53
2032,15,all,1.4
2032,15,foreign-born,1.58
2032,15,native-born,1.36
2032,16,all,3.43
2032,16,foreign-born,3.89
2032,16,native-born,3.34
2032,17,all,6.72
2032,17,foreign-born,7.62
2032,17,native-born,6.54
2032,18,all,12.87
2032,18,foreign-born,14.6
2032,18,native-born,12.52
2032,19,all,23.78
2032,19,foreign-born,26.98
2032,19,native-born,23.13
2032,20,all,33.31
2032,20,foreign-born,37.79
2032,20,native-born,32.4
2032,21,all,41.72
2032,21,foreign-born,47.33
2032,21,native-born,40.58
2032,22,all,48.24
2032,22,foreign-born,54.72
2032,22,native-born,46.92
2032,23,all,54.39
2032,23,foreign-born,61.71
2032,23,native-born,52.91
2032,24,all,61.35
2032,24,foreign-born,69.59
2032,24,native-born,59.68
2032,25,all,68.61
2032,25,foreign-born,77.84
2032,25,native-born,66.74
2032,26,all,74.84
2032,26,foreign-born,84.91
2032,26,native-born,72.8
2032,27,all,83.79
2032,27,foreign-born,95.06
2032,27,native-born,81.51
2032,28,all,92.37
2032,28,foreign-born,104.79
2032,28,native-born,89.85
2032,29,all,101.17
2032,29,foreign-born,114.78
2032,29,native-born,98.42
2032,30,all,104.8
2032,30,foreign-born,118.89
2032,30,native-born,101.94
2032,31,all,105.74
2032,31,foreign-born,119.95
2032,31,native-born,102.86
2032,32,all,101.93
2032,32,foreign-born,115.63
2032,32,native-born,99.15
2032,33,all,96.39
2032,33,foreign-born,109.35
2032,33,native-born,93.76
2032,34,all,90.35
2032,34,foreign-born,102.5
2032,34,native-born,87.89
2032,35,all,82.49
2032,35,foreign-born,93.58
2032,35,native-born,80.24
2032,36,all,71.4
2032,36,foreign-born,81.0
2032,36,native-born,69.45
2032,37,all,58.15
2032,37,foreign-born,65.97
2032,37,native-born,56.57
2032,38,all,46.34
2032,38,foreign-born,52.57
2032,38,native-born,45.08
2032,39,all,36.26
2032,39,foreign-born,41.14
2032,39,native-born,35.27
2032,40,all,27.06
2032,40,foreign-born,30.7
2032,40,native-born,26.32
2032,41,all,18.93
2032,41,foreign-born,21.48
2032,41,native-born,18.42
2032,42,all,12.43
2032,42,foreign-born,14.1
2032,42,native-born,12.09
2032,43,all,7.6
2032,43,foreign-born,8.63
2032,43,native-born,7.4
2032,44,all,4.52
2032,44,foreign-born,5.13
2032,44,native-born,4.4
2032,45,all,2.65
2032,45,foreign-born,3.0
2032,45,native-born,2.57
2032,46,all,1.51
2032,46,foreign-born,1.72
2032,46,native-born,1.47
2032,47,all,0.87
2032,47,foreign-born,0.99
2032,47,native-born,0.85
2032,48,all,0.49
2032,48,foreign-born,0.56
2032,48,native-born,0.48
2032,49,all,1.06
2032,49,foreign-born,1.2
2032,49,native-born,1.03
2033,14,all,0.52
2033,14,foreign-born,0.59
2033,14,native-born,0.51
2033,15,all,1.33
2033,15,foreign-born,1.5
2033,15,native-born,1.29
2033,16,all,3.29
2033,16,foreign-born,3.72
2033,16,native-born,3.2
2033,17,all,6.45
2033,17,foreign-born,7.3
2033,17,native-born,6.28
2033,18,all,12.36
2033,18,foreign-born,13.99
2033,18,native-born,12.04
2033,19,all,23.06
2033,19,foreign-born,26.11
2033,19,native-born,22.46
2033,20,all,32.54
2033,20,foreign-born,36.84
2033,20,native-born,31.69
2033,21,all,40.98
2033,21,foreign-born,46.39
2033,21,native-born,39.91
2033,22,all,47.33
2033,22,foreign-born,53.58
2033,22,native-born,46.09
2033,23,all,53.33
2033,23,foreign-born,60.37
2033,23,native-born,51.93
2033,24,all,60.28
2033,24,foreign-born,68.24
2033,24,native-born,58.7
2033,25,all,67.5
2033,25,foreign-born,76.41
2033,25,native-born,65.73
2033,26,all,73.77
2033,26,foreign-born,83.51
2033,26,native-born,71.84
2033,27,all,83.07
2033,27,foreign-born,94.03
2033,27,native-born,80.89
2033,28,all,92.13
2033,28,foreign-born,104.29
2033,28,native-born,89.71
2033,29,all,101.63
2033,29,foreign-born,115.05
2033,29,native-born,98.97
2033,30,all,105.5
2033,30,foreign-born,119.43
2033,30,native-born,102.74
2033,31,all,106.57
2033,31,foreign-born,120.64
2033,31,native-born,103.78
2033,32,all,102.72
2033,32,foreign-born,116.28
2033,32,native-born,100.03
2033,33,all,97.04
2033,33,foreign-born,109.86
2033,33,native-born,94.5
2033,34,all,91.02
2033,34,foreign-born,103.03
2033,34,native-born,88.63
2033,35,all,83.14
2033,35,foreign-born,94.11
2033,35,native-born,80.96
2033,36,all,72.08
2033,36,foreign-born,81.6
2033,36,native-born,70.19
2033,37,all,58.69
2033,37,foreign-born,66.44
2033,37,native-born,57.15
2033,38,all,46.77
2033,38,foreign-born,52.94
2033,38,native-born,45.54
2033,39,all,36.58
2033,39,foreign-born,41.41
2033,39,native-born,35.62
2033,40,all,27.36
2033,40,foreign-born,30.97
2033,40,native-born,26.64
2033,41,all,19.17
2033,41,foreign-born,21.7
2033,41,native-born,18.67
2033,42,all,12.6
2033,42,foreign-born,14.26
2033,42,native-born,12.27
2033,43,all,7.71
2033,43,foreign-born,8.73
2033,43,native-born,7.51
2033,44,all,4.59
2033,44,foreign-born,5.2
2033,44,native-born,4.47
2033,45,all,2.7
2033,45,foreign-born,3.05
2033,45,native-born,2.63
2033,46,all,1.56
2033,46,foreign-born,1.76
2033,46,native-born,1.52
2033,47,all,0.89
2033,47,foreign-born,1.01
2033,47,native-born,0.87
2033,48,all,0.5
2033,48,foreign-born,0.57
2033,48,native-born,0.49
2033,49,all,1.07
2033,49,foreign-born,1.21
2033,49,native-born,1.04
2034,14,all,0.49
2034,14,foreign-born,0.56
2034,14,native-born,0.48
2034,15,all,1.26
2034,15,foreign-born,1.43
2034,15,native-born,1.23
2034,16,all,3.15
2034,16,foreign-born,3.56
2034,16,native-born,3.07
2034,17,all,6.19
2034,17,foreign-born,6.99
2034,17,native-born,6.03
2034,18,all,11.88
2034,18,foreign-born,13.42
2034,18,native-born,11.58
2034,19,all,22.38
2034,19,foreign-born,25.29
2034,19,native-born,21.81
2034,20,all,31.81
2034,20,foreign-born,35.95
2034,20,native-born,31.01
2034,21,all,40.28
2034,21,foreign-born,45.51
2034,21,native-born,39.26
2034,22,all,46.47
2034,22,foreign-born,52.5
2034,22,native-born,45.29
2034,23,all,52.31
2034,23,foreign-born,59.11
2034,23,native-born,50.99
2034,24,all,59.28
2034,24,foreign-born,66.98
2034,24,native-born,57.78
2034,25,all,66.45
2034,25,foreign-born,75.09
2034,25,native-born,64.77
2034,26,all,72.76
2034,26,foreign-born,82.22
2034,26,native-born,70.92
2034,27,all,82.39
2034,27,foreign-born,93.09
2034,27,native-born,80.3
2034,28,all,91.91
2034,28,foreign-born,103.85
2034,28,native-born,89.58
2034,29,all,102.07
2034,29,foreign-born,115.34
2034,29,native-born,99.49
2034,30,all,106.18
2034,30,foreign-born,119.98
2034,30,native-born,103.5
2034,31,all,107.38
2034,31,foreign-born,121.33
2034,31,native-born,104.66
2034,32,all,103.49
2034,32,foreign-born,116.94
2034,32,native-born,100.87
2034,33,all,97.68
2034,33,foreign-born,110.37
2034,33,native-born,95.21
2034,34,all,91.66
2034,34,foreign-born,103.57
2034,34,native-born,89.34
2034,35,all,83.76
2034,35,foreign-born,94.64
2034,35,native-born,81.64
2034,36,all,72.74
2034,36,foreign-born,82.19
2034,36,native-born,70.9
2034,37,all,59.21
2034,37,foreign-born,66.9
2034,37,native-born,57.71
2034,38,all,47.18
2034,38,foreign-born,53.31
2034,38,native-born,45.99
2034,39,all,36.89
2034,39,foreign-born,41.69
2034,39,native-born,35.96
2034,40,all,27.65
2034,40,foreign-born,31.24
2034,40,native-born,26.95
2034,41,all,19.4
2034,41,foreign-born,21.93
2034,41,native-born,18.91
2034,42,all,12.76
2034,42,foreign-born,14.41
