year,age,sex,number_of_people
2025,19,male,2135853.0
2025,20,female,2190746.0
2025,20,male,2201011.0
2025,21,female,2193885.0
2025,21,male,2201860.0
2025,22,female,2192687.0
2025,22,male,2200293.0
2025,23,female,2197344.0
2025,23,male,2206817.0
2025,24,female,2229477.0
2025,24,male,2240689.0
2025,25,female,2202872.0
2025,25,male,2196893.0
2025,26,female,2193396.0
2025,26,male,2183255.0
2025,27,female,2193954.0
2025,27,male,2182023.0
2025,28,female,2200280.0
2025,28,male,2186276.0
2025,29,female,2229274.0
2025,29,male,2213921.0
2025,30,female,2265473.0
2025,30,male,2263091.0
2025,31,female,2304875.0
2025,31,male,2298801.0
2025,32,female,2353242.0
2025,32,male,2344855.0
2025,33,female,2401974.0
2025,33,male,2377406.0
2025,34,female,2441658.0
2025,34,male,2406356.0
2025,35,female,2378925.0
2025,35,male,2362961.0
2025,36,female,2330995.0
2025,36,male,2314715.0
2025,37,female,2284640.0
2025,37,male,2272286.0
2025,38,female,2252178.0
2025,38,male,2245493.0
2025,39,female,2251579.0
2025,39,male,2247534.0
2025,40,female,2256538.0
2025,40,male,2250153.0
2025,41,female,2228481.0
2025,41,male,2216187.0
2025,42,female,2232203.0
2025,42,male,2217295.0
2025,43,female,2221594.0
2025,43,male,2199899.0
2025,44,female,2201322.0
2025,44,male,2176531.0
2025,45,female,2162954.0
2025,45,male,2138871.0
2025,46,female,2084660.0
2025,46,male,2052352.0
2025,47,female,2041004.0
2025,47,male,1998985.0
2025,48,female,1995684.0
2025,48,male,1946415.0
2025,49,female,1949781.0
2025,49,male,1897053.0
2025,50,female,2013329.0
2025,50,male,1979989.0
2025,51,female,1993279.0
2025,51,male,1953450.0
2025,52,female,2010919.0
2025,52,male,1964176.0
2025,53,female,2089790.0
2025,53,male,2041293.0
2025,54,female,2176414.0
2025,54,male,2129790.0
2025,55,female,2135909.0
2025,55,male,2096538.0
2025,56,female,2056788.0
2025,56,male,2013711.0
2025,57,female,2013513.0
2025,57,male,1962880.0
2025,58,female,2012818.0
2025,58,male,1946898.0
2025,59,female,2055985.0
2025,59,male,1976528.0
2025,60,female,2165427.0
2025,60,male,2059256.0
2025,61,female,2211481.0
2025,61,male,2087216.0
2025,62,female,2212007.0
2025,62,male,2091593.0
2025,63,female,2209520.0
2025,63,male,2074793.0
2025,64,female,2204085.0
2025,64,male,2055879.0
2025,65,female,2107577.0
2025,65,male,1959395.0
2025,66,female,2064022.0
2025,66,male,1901445.0
2025,67,female,2044065.0
2025,67,male,1864572.0
2025,68,female,2007346.0
2025,68,male,1811533.0
2025,69,female,1944419.0
2025,69,male,1733051.0
2025,70,female,1863729.0
2025,70,male,1656407.0
2025,71,female,1796864.0
2025,71,male,1579969.0
2025,72,female,1728749.0
2025,72,male,1502868.0
2025,73,female,1664199.0
2025,73,male,1431019.0
2025,74,female,1565519.0
2025,74,male,1328662.0
2025,75,female,1429115.0
2025,75,male,1227343.0
2025,76,female,1379338.0
2025,76,male,1176737.0
2025,77,female,1361378.0
2025,77,male,1156823.0
2025,78,female,1274123.0
2025,78,male,1077843.0
2025,79,female,1063580.0
2025,79,male,879918.0
2025,80,female,923100.0
2025,80,male,741461.0
2025,81,female,895888.0
2025,81,male,707538.0
2025,82,female,853043.0
2025,82,male,660573.0
2025,83,female,753056.0
2025,83,male,569552.0
2025,84,female,651477.0
2025,84,male,478646.0
2025,85,female,577453.0
2025,85,male,412109.0
2025,86,female,519714.0
2025,86,male,360885.0
2025,87,female,462797.0
2025,87,male,313232.0
2025,88,female,399182.0
2025,88,male,263288.0
2025,89,female,348744.0
2025,89,male,221910.0
2025,90,female,299780.0
2025,90,male,181340.0
2025,91,female,248631.0
2025,91,male,142869.0
2025,92,female,210065.0
2025,92,male,114438.0
2025,93,female,176123.0
2025,93,male,90421.0
2025,94,female,145008.0
2025,94,male,69709.0
2025,95,female,115224.0
2025,95,male,51166.0
2025,96,female,87882.0
2025,96,male,35739.0
2025,97,female,66734.0
2025,97,male,24753.0
2025,98,female,48399.0
2025,98,male,16246.0
2025,99,female,34438.0
2025,99,male,10414.0
2025,100+,female,66038.0
2025,100+,male,16344.0
2026,16,female,2216677.0
2026,16,male,2277220.0
2026,17,female,2271811.0
2026,17,male,2332390.0
2026,18,female,2062759.0
2026,18,male,2154750.0
2026,19,female,2057950.0
2026,19,male,2143043.0
2026,20,female,2181726.0
2026,20,male,2202023.0
2026,21,female,2169594.0
2026,21,male,2186311.0
2026,22,female,2174375.0
2026,22,male,2188990.0
2026,23,female,2177913.0
2026,23,male,2193224.0
2026,24,female,2190151.0
2026,24,male,2209163.0
2026,25,female,2214503.0
2026,25,male,2241861.0
2026,26,female,2216339.0
2026,26,male,2242411.0
2026,27,female,2208744.0
2026,27,male,2231293.0
2026,28,female,2212011.0
2026,28,male,2233409.0
2026,29,female,2228500.0
2026,29,male,2249078.0
2026,30,female,2250189.0
2026,30,male,2267683.0
2026,31,female,2281126.0
2026,31,male,2296927.0
2026,32,female,2324874.0
2026,32,male,2337728.0
2026,33,female,2372507.0
2026,33,male,2379423.0
2026,34,female,2418134.0
2026,34,male,2411623.0
2026,35,female,2418133.0
2026,35,male,2398001.0
2026,36,female,2391752.0
2026,36,male,2373680.0
2026,37,female,2348714.0
2026,37,male,2332902.0
2026,38,female,2307160.0
2026,38,male,2295543.0
2026,39,female,2285833.0
2026,39,male,2278069.0
2026,40,female,2294764.0
2026,40,male,2291445.0
2026,41,female,2274221.0
2026,41,male,2265224.0
2026,42,female,2254605.0
2026,42,male,2242654.0
2026,43,female,2254891.0
2026,43,male,2237972.0
2026,44,female,2234415.0
2026,44,male,2213336.0
2026,45,female,2220486.0
2026,45,male,2195678.0
2026,46,female,2160570.0
2026,46,male,2131920.0
2026,47,female,2095873.0
2026,47,male,2059105.0
2026,48,female,2051699.0
2026,48,male,2007129.0
2026,49,female,2010100.0
2026,49,male,1960278.0
2026,50,female,1998405.0
2026,50,male,1961270.0
2026,51,female,1979959.0
2026,51,male,1938682.0
2026,52,female,1973506.0
2026,52,male,1925885.0
2026,53,female,2015613.0
2026,53,male,1962310.0
2026,54,female,2091542.0
2026,54,male,2038431.0
2026,55,female,2127733.0
2026,55,male,2086843.0
2026,56,female,2091261.0
2026,56,male,2048704.0
2026,57,female,2021505.0
2026,57,male,1972855.0
2026,58,female,1995267.0
2026,58,male,1936655.0
2026,59,female,2015170.0
2026,59,male,1941829.0
2026,60,female,2094121.0
2026,60,male,2006695.0
2026,61,female,2156133.0
2026,61,male,2047436.0
2026,62,female,2193372.0
2026,62,male,2065313.0
2026,63,female,2192283.0
2026,63,male,2051491.0
2026,64,female,2182448.0
2026,64,male,2027436.0
2026,65,female,2127243.0
2026,65,male,1975742.0
2026,66,female,2094654.0
2026,66,male,1928137.0
2026,67,female,2056217.0
2026,67,male,1875146.0
2026,68,female,2028557.0
2026,68,male,1831376.0
2026,69,female,1983806.0
2026,69,male,1769346.0
2026,70,female,1917076.0
2026,70,male,1700921.0
2026,71,female,1854846.0
2026,71,male,1626787.0
2026,72,female,1779434.0
2026,72,male,1543505.0
2026,73,female,1744295.0
2026,73,male,1498796.0
2026,74,female,1609624.0
2026,74,male,1362165.0
2026,75,female,1516156.0
2026,75,male,1303073.0
2026,76,female,1445018.0
2026,76,male,1229554.0
2026,77,female,1414177.0
2026,77,male,1196419.0
2026,78,female,1353144.0
2026,78,male,1138901.0
2026,79,female,1213304.0
2026,79,male,1009833.0
2026,80,female,1023217.0
2026,80,male,829868.0
2026,81,female,919094.0
2026,81,male,727767.0
2026,82,female,886693.0
2026,82,male,688123.0
2026,83,female,819493.0
2026,83,male,622370.0
2026,84,female,711220.0
2026,84,male,526572.0
2026,85,female,613697.0
2026,85,male,441134.0
2026,86,female,540795.0
2026,86,male,378650.0
2026,87,female,485218.0
2026,87,male,330848.0
2026,88,female,422705.0
2026,88,male,280677.0
2026,89,female,362196.0
2026,89,male,233358.0
2026,90,female,311643.0
2026,90,male,192516.0
2026,91,female,260719.0
2026,91,male,152989.0
2026,92,female,215588.0
2026,92,male,119791.0
2026,93,female,179293.0
2026,93,male,94144.0
2026,94,female,146533.0
2026,94,male,72479.0
2026,95,female,117285.0
2026,95,male,53809.0
2026,96,female,89668.0
2026,96,male,37756.0
2026,97,female,66855.0
2026,97,male,25841.0
2026,98,female,49006.0
2026,98,male,17026.0
2026,99,female,34745.0
2026,99,male,10983.0
2026,100+,female,67029.0
2026,100+,male,17135.0
2027,16,female,2127651.0
2027,16,male,2198727.0
2027,17,female,2165424.0
2027,17,male,2233619.0
2027,18,female,2047757.0
2027,18,male,2131000.0
2027,19,female,2084344.0
2027,19,male,2156200.0
2027,20,female,2187591.0
2027,20,male,2215469.0
2027,21,female,2159480.0
2027,21,male,2182450.0
2027,22,female,2156997.0
2027,22,male,2177011.0
2027,23,female,2164513.0
2027,23,male,2183164.0
2027,24,female,2159767.0
2027,24,male,2183177.0
2027,25,female,2194562.0
2027,25,male,2238903.0
2027,26,female,2221776.0
2027,26,male,2269176.0
2027,27,female,2217679.0
2027,27,male,2262501.0
2027,28,female,2213705.0
2027,28,male,2256398.0
2027,29,female,2218854.0
2027,29,male,2261830.0
2027,30,female,2223779.0
2027,30,male,2254644.0
2027,31,female,2245310.0
2027,31,male,2277186.0
2027,32,female,2282238.0
2027,32,male,2311352.0
2027,33,female,2323732.0
2027,33,male,2352775.0
2027,34,female,2372809.0
2027,34,male,2396782.0
2027,35,female,2417428.0
2027,35,male,2407869.0
2027,36,female,2429341.0
2027,36,male,2414061.0
2027,37,female,2417966.0
2027,37,male,2406895.0
2027,38,female,2370744.0
2027,38,male,2360352.0
2027,39,female,2325603.0
2027,39,male,2318166.0
2027,40,female,2319916.0
2027,40,male,2322763.0
2027,41,female,2310028.0
2027,41,male,2311462.0
2027,42,female,2285044.0
2027,42,male,2285361.0
2027,43,female,2272679.0
2027,43,male,2267116.0
2027,44,female,2257906.0
2027,44,male,2250625.0
2027,45,female,2265602.0
2027,45,male,2250089.0
2027,46,female,2221857.0
2027,46,male,2203942.0
2027,47,female,2171471.0
2027,47,male,2150972.0
2027,48,female,2106845.0
2027,48,male,2080213.0
2027,49,female,2070648.0
2027,49,male,2036683.0
2027,50,female,2012353.0
2027,50,male,1983094.0
2027,51,female,1972717.0
2027,51,male,1939842.0
2027,52,female,1955316.0
