GEOID,SEX,2029,AGE_GROUP,2034,2039,2044,2049,2054,2059,2064,2069,2074,2079,2084,2089,2094
30,FEMALE,27049.910678848995,0-4,26339.684420769132,25968.775763776488,25595.621036975142,24709.12138649942,23372.65076437967,22044.94758753175,21156.578693069474,20713.696859160515,20401.420420675135,19964.42948182215,19308.011696195714,18527.60150154914,17823.080138733076
30,MALE,28402.40621833667,0-4,27656.668647207218,27267.21455728891,26875.402094070996,25944.57746088976,24541.283307390036,23147.194971427547,22214.40763206004,21749.381706364846,21421.491445891177,20962.65096000596,20273.412284963637,19453.981580424752,18714.234149323456
31,FEMALE,59031.21409370781,0-4,59627.042820773466,60750.04204439599,60522.33340561074,58761.9903722293,56226.99113160064,53753.64921842978,52494.91617609332,52462.372929395635,52625.80243112451,52067.00713794259,50675.95863830351,48943.59243380488,47502.74387453913
31,MALE,61982.774810494586,0-4,62608.39497403568,63787.54415906954,63548.45008829835,61700.08990288696,59038.34069970719,56441.33169037076,55119.66199565944,55085.49158662019,55257.092563469014,54670.35750551345,53209.75658060726,51390.77206552854,49877.881078004146
32,FEMALE,79295.28808389783,0-4,76064.86413686033,73565.57612491962,72269.33461946352,70678.24499456446,68078.68482989732,65166.207225931284,63097.945825381335,62118.64763778927,61672.5565390731,61109.24833642384,60149.84060999214,58917.4438329588,57790.29723789266
32,MALE,83260.05250434825,0-4,79868.10735929661,77243.85494624652,75882.80136525189,74212.1572587817,71482.6190853483,68424.5176005869,66252.84312958547,65224.58003241304,64756.18437866961,64164.71076577242,63157.33265282245,61863.3160366848,60679.81211163429
33,FEMALE,29066.404668803705,0-4,28434.840156553688,28101.49645353583,27453.814700001283,25804.248250235967,24189.847565389962,22978.099341286856,22175.481017087186,21770.625078521578,21491.250185643457,20968.183712702834,20106.95673774091,19171.577920526845,18416.186219585565
33,MALE,30519.724908202497,0-4,29856.58217021051,29506.57128197343,28826.505440629375,27094.46066803763,25399.33994861837,24127.0043130617,23284.255072487515,22859.156336910633,22565.812699331334,22016.592902636447,21112.304578749878,20130.156820483357,19336.995534340156
34,FEMALE,244708.454406495,0-4,234895.40805708696,223624.2668808849,214596.06004275059,208025.14768151662,201721.71256332428,194500.83600198655,187101.30516905076,181076.41112824628,176166.0376250821,171643.0458179433,167354.26760330357,163168.4463007766,159006.01415608887
34,MALE,256943.8771769849,0-4,246640.17850809483,234805.48027077207,225325.86308888026,218426.40510823758,211807.7982328434,204225.8778419585,196456.370465859,190130.23172177922,184974.3395424502,180225.19814402726,175721.9810177763,171326.8686492649,166956.3148964895
